,character,statement,line,book,scene
1044,tom riddle,"She won't wake. Harry spins. Tom Riddle stands nearby. He is strangely BLURRED around the edges, as though Harry was looking at him through a misted window.",1044,2,"['ron', 'harry', 'tom riddle']"
1045,harry,"Tom... Tom Riddle? What d'you mean, she won't wake? She's not...",1045,2,"['ron', 'harry', 'tom riddle']"
1046,tom riddle,She's still alive. But only just.,1046,2,"['ron', 'harry', 'tom riddle']"
1047,harry,Are you a ghost?,1047,2,"['ron', 'harry', 'tom riddle']"
1048,tom riddle,"A memory. Preserved in a diary for fifty years. Harry looks to the diary in Ginny's hand, then places his own hand on Ginny's arm.",1048,2,"['ron', 'harry', 'tom riddle']"
1049,harry,"She's cold as ice. You've got to help me, Tom. There's a basilisk --",1049,2,"['ron', 'harry', 'tom riddle']"
1050,tom riddle,"It won't come until it's called. Harry looks up, sees Riddle twirling a wand in his fingers.",1050,2,"['harry', 'tom riddle']"
1051,harry,"Give me my wand, Tom.",1051,2,"['harry', 'tom riddle']"
1052,tom riddle,You won't be needing it.,1052,2,"['harry', 'tom riddle']"
1053,harry,"Listen, we've got to go! We've got to save her!",1053,2,"['harry', 'tom riddle']"
1054,tom riddle,"I'm afraid I can't do that, Harry. You see, as poor Ginny grows weaker... I grow stronger.",1054,2,"['harry', 'tom riddle']"
1055,harry,But she's dying!,1055,2,"['harry', 'tom riddle']"
1057,tom riddle,"Yes. I'm afraid so. But then, she's been in so much pain, poor Ginny. She's been writing to me for months, telling me all her pitiful worries and woes. Ginny poured her soul out to me. I grew stronger on a diet of her deepest fears, her darkest secrets. I grew powerful enough to start feeding Ginny a few secrets, to start pouring a bit of my soul back into her... Riddle, growing less vaporous by the second, grins cruelly.",1057,2,"['harry', 'tom riddle']"
1058,tom riddle,"Yes, Harry, it was Ginny Weasley who opened the Chamber of Secrets.",1058,2,"['harry', 'tom riddle']"
1059,harry,No... she couldn't -- she wouldn't.,1059,2,"['harry', 'tom riddle']"
1060,tom riddle,It was Ginny who set the Basilisk on the Mudbloods and the Squib's cat. Ginny who wrote threatening messages on the walls.,1060,2,"['harry', 'tom riddle']"
1061,harry,But... Why?...,1061,2,"['harry', 'tom riddle']"
1062,tom riddle,"Because I told her to. You'll find that I can be very persuasive. Not that she knew what she was doing. She was, shall we say, in a kind of trance. Still, the power of the diary began to scare her and she tried to dispose of it in the girls' bathroom. But then, who should find it... but you. The very person I was most anxious to meet.",1062,2,"['harry', 'tom riddle']"
1063,harry,(getting angry) And why did you want to meet me?,1063,2,"['harry', 'tom riddle']"
1065,tom riddle,"Ginny told me all about you. I knew I had to talk to you, meet you if I could. So I decided to show you my capture of that brainless oaf, Hagrid, to gain your trust.",1065,2,"['harry', 'tom riddle']"
1066,harry,"Hagrid's my friend. And you framed him, didn't you?",1066,2,"['harry', 'tom riddle']"
1067,tom riddle,It was my word against Hagrid's. Only Dumbledore seemed to think Hagrid was innocent.,1067,2,"['harry', 'tom riddle']"
1068,harry,I'll bet Dumbledore saw right through you.,1068,2,"['harry', 'tom riddle']"
1069,tom riddle,"I knew it wouldn't be safe to open the Chamber again while I was still at school. So I decided to leave behind a diary, preserving my sixteen-year-old self in its pages, so that one day... I would be able to lead another to finish Salazar Slytherin's noble work.",1069,2,"['harry', 'tom riddle']"
1070,harry,"Well, you haven't finished it this time. In a few hours Mandrake Draught will be ready and everyone who was petrified will be all right again.",1070,2,"['harry', 'tom riddle']"
1071,tom riddle,"Haven't I told you, that killing Mudbloods doesn't matter to me anymore? For many months now, my new target has been... you. (grinning) Imagine my disappointment when I learned Ginny had stolen the diary back from you.",1071,2,"['harry', 'tom riddle']"
1072,harry,Ginny stole the diary from my room? But why?,1072,2,"['harry', 'tom riddle']"
1074,tom riddle,"She was afraid. Afraid you'd learn how to work the diary. Afraid I'd tell you just who it was that had been strangling all those roosters. Horrified, Harry glances at Ginny, growing more PALE, then back to Riddle, who is growing more SOLID.",1074,2,"['harry', 'tom riddle']"
1075,tom riddle,"Come now, Harry. Don't look so disappointed. Had Ginny succeeded in destroying the diary, she would have destroyed me. And we couldn't be having this little talk. And I have so many questions for you.",1075,2,"['harry', 'tom riddle']"
1076,harry,Like what?,1076,2,"['harry', 'tom riddle']"
1077,tom riddle,"Well, how is it that a baby with no extraordinary magical talent managed to defeat the greatest wizard of all time? How did you escape with nothing but a scar, while Lord Voldemort's powers were destroyed?",1077,2,"['harry', 'tom riddle']"
1078,harry,Why do you care how I escaped? Voldemort was after your time.,1078,2,"['harry', 'tom riddle']"
1079,tom riddle,"Voldemort is my past, present and future. Riddle pulls Harry's wand from his pocket and begins to trace it through the air, writing three words ""TOM MARVOLO RIDDLE."" Then, with a wave, he re-arranges them ""I AM LORD VOLDEMORT.""",1079,2,"['harry', 'tom riddle']"
1080,harry,You. You're the heir of Slytherin. You're Voldemort?,1080,2,"['harry', 'tom riddle']"
1081,tom riddle,Surely you didn't think I would keep my filthy Muggle father's name? (CONTINUED),1081,2,"['harry', 'tom riddle']"
1084,harry,Albus Dumbledore is the greatest sorcerer in the world!,1084,2,"['harry', 'tom riddle']"
1085,tom riddle,Dumbledore's been driven out of this castle by the mere memory of me.,1085,2,"['harry', 'tom riddle']"
1086,harry,"He'll never be gone! Not as long as those who remain are loyal to him! Suddenly, MUSIC... EERIE and UNEARTHLY... ECHOES deep within the chamber and a small, swift SHADOW ribbons over the rock. Flying from above is FAWKES, the Phoenix. The bird SWOOPS into the chamber, clutching a RAGGED BUNDLE in its golden talons.",1086,2,"['harry', 'tom riddle']"
1087,harry,"Fawkes. Fawkes flies toward Harry, drops the ragged bundle, which is the SORTING HAT, at his feet. Riddle picks it up.",1087,2,"['harry', 'tom riddle']"
1088,tom riddle,(giggling) This is what Dumbledore sends his defender! A songbird and an old hat! Riddle tosses aside the hat. He turns to the statue of Salazar Slytherin and speaks in Parseltongue.,1088,2,"['harry', 'tom riddle']"
1089,tom riddle,"(Parseltongue) Speak to me, Slytherin. Suddenly, the stone face's MOUTH OPENS. There is a RUMBLING SOUND, followed by the sound of SLITHERING. Harry turns away. The Basilisk, A GIANT SERPENT, spills out, uncoiling heavily to the floor. Harry turns to the wall. The shadow of the serpent is visible on the wall. PAN TO Tom Riddle, looking at Harry.",1089,2,"['harry', 'tom riddle']"
1091,tom riddle,"Let's match the powers of Lord Voldemort, Heir of Salazar Slytherin, against the famous Harry Potter, shall we? Riddle turns, to serpent, speaking in Parseltongue.",1091,2,"['harry', 'tom riddle']"
1092,tom riddle,"(Parseltongue) Kill him! The HISSING SERPENT shoots forward. Harry turns, RUNS away.",1092,2,"['harry', 'tom riddle']"
1093,tom riddle,"Parseltongue won't save you now, Potter. The Basilisk only obeys me.",1093,2,"['harry', 'tom riddle']"
1094,harry,"(to himself) Don't look. Don't look into its eyes. Harry RACES along the stone path, but the giant serpent is FASTER. Harry TRIPS. FALLS. The Basilisk RISES. Harry looks to the wall, sees the serpent about to strike. Suddenly FAWKES SCREECHES, soaring toward the Basilisk and circling its blunt head, confusing it. The SNAKE SNAPS furiously, when... Fawkes drops like a knife, driving its talons deep into the serpent's glittering eyes. As Harry watches the angry play of shadows on the wall, the BASILISK ROARS, HISSING in pain. Fawkes wings away, its talons dripping with blood and Harry turns, LOOKS the Basilisk's eyes are a blind, bloody mess.",1094,2,"['harry', 'tom riddle']"
1095,tom riddle,"Fool! Think you're safe! It can still hear you! As Harry flees, the serpent thunders after, STRIKING BLINDLY as its whipping tail SHATTERS a Slytherin STATUE. Harry dodges and ducks, then, seeing the snake about to strike again... LEAPS CLEAR, stumbling toward a SIDE TUNNEL. 133A INT. CHAMBER OF SECRETS - SIDE TUNNEL - NIGHT 133A Harry RACES HEADLONG into the shadows, then looks back, sees the snake eclipse the light at the far end of the tunnel and SLITHER QUICKLY inside.",1095,2,"['harry', 'tom riddle']"
1099,tom riddle,"Yes, Potter. The process is nearly complete. In a few minutes, Ginny Weasley will be dead. And I will cease to be a memory. Lord Voldemort will return. Very much... alive. Harry moves toward Ginny, then suddenly... the BASILISK SHOOTS OUT of the TUNNEL, HISSING directly in front of Harry. Trapped, Harry glances around, then -- impulsively -- LEAPS upward, begins to scale the statue of Salazar Slytherin. The serpent strikes madly, but Harry continues on, CLIMBING BOLDLY until he reaches the top. He turns. Sees the Sorting Hat. Sees what glitters within the RUBY HANDLE of a SWORD. Harry WHEELS, sword in hand, and fends off the slashing serpent like St. George and the dragon. In a mad rush of courage, he PITCHES HIMSELF onto the serpent, SLIDES DOWN its back and rolls up, SWORD RAISED. Too tired to flee, Harry simply waits. The serpent rises and, FANGS BARED... STRIKES. Marshalling every ounce of strength left to him, Harry drives the sword upward, deep into the roof of the SERPENT'S mouth. It HISSES in PAIN, thrashing MADLY as it drives a FANG into Harry's arm. Harry clutches his arm in agony, stumbles back and falls to the floor, watching as the serpent THRASHES briefly... then goes STILL. Harry peers down, sees the FANG that pierces his arm, the blood soaking slowly into his robe. As he yanks the fang free, Riddle steps forward, almost fully whole now. His eyes shine at the sight of Harry's wound.",1099,2,"['harry', 'tom riddle']"
1100,tom riddle,"Remarkable, isn't it? How quickly the venom of the Basilisk penetrates the body? If you have any final words, Potter, you'd best speak them now. I'd guess you have little more than a minute to live. Harry blinks heavily, watching as the skin of his forearm turns a troubling gray.",1100,2,"['harry', 'tom riddle']"
1102,tom riddle,"So ends the famous Harry Potter. On his knees in the Chamber of Secrets. Defeated at last by the Dark Lord he so unwisely challenged. You'll be back with your dear Mudblood mother soon, Harry... As Riddle talks, Harry glances at Ginny, nearly white now, a small ghost, the only evidence of life the TREMBLING OF A SINGLE FINGER. Harry studies the finger and what lies beneath it Tom Riddle's diary. Harry begins to crawl toward her.",1102,2,"['harry', 'tom riddle']"
1104,tom riddle,"Funny, isn't it? The damage a silly little book can do? Especially in the hands of a silly little girl. As Harry reaches Ginny, he places his hand on hers, then... slips the diary free.",1104,2,"['harry', 'tom riddle']"
1105,tom riddle,"What are you doing? No. Stop... Riddle's face creases in fear. He LUNGES FORWARD. But Harry is too quick. Raising his hand high... he PLUNGES THE FANG into the book. Instantly, BLACK INK SPURTS from the pages.",1105,2,['tom riddle']
1106,tom riddle,"No! Riddle SHRIEKS, writhing in pain. His body begins to wither instantly, growing BLURRY once more. As the ink runs off Harry's fingers to the floor, Riddle VANISHES altogether. Harry sinks back, then... hears a FAINT MOAN. Ginny STIRS, color blooming in her cheeks. As she sees Harry, she SOBS.",1106,2,['tom riddle']
1108,harry,"Ginny. You need to get yourself out... Follow the chamber... You'll find Ron... There is a RUSH OF WINGS and Fawkes circles down, lays his head onto Harry's arm.",1108,2,"['harry', 'tom riddle']"
1109,harry,"You were brilliant, Fawkes. I just... wasn't quick enough. Then Harry blinks, looks down. Thick pearly TEARS are trickling down Fawkes' face and onto his arm. Almost instantly, his wound... begins to heal itself.",1109,2,"['harry', 'tom riddle']"
1111,harry,"Of course. Dumbledore told me. Phoenix tears have healing powers. (looking up at Ginny) It's all right, Ginny. It's over. It's just a memory... 134 INT. TUNNEL - NIGHT (LATER) 134 With Fawkes gliding gracefully ahead of them, Harry and Ginny make their way back. Up ahead, SHIFTING ROCK can be heard and a jagged fissure of LIGHT GLIMMERS. Ron's face appears.",1111,2,"['harry', 'tom riddle']"
1112,ron,"Ginny! Ron wriggles through, rushes forward and hugs Ginny.",1112,2,"['ron', 'harry', 'tom riddle']"
1113,ron,You're alive. I can't believe it.,1113,2,"['ron', 'harry', 'tom riddle']"
1115,ron,(to Harry) Remind you of anyone?,1115,2,"['ron', 'harry', 'tom riddle']"
1116,harry,"Where's Lockhart? Harry eyes Lockhart, sitting by himself, HUMMING placidly.",1116,2,"['ron', 'harry', 'tom riddle']"
