,character,statement,line,book,scene
573,harry,"You wish. They turn, walk ten paces, then WHIRL, wands poised.",573,2,"['ron', 'harry', 'snape', 'hermione']"
575,harry,"Rictusempra! A jet of SILVER LIGHT hits Malfoy dead in the stomach. He doubles up, WHEEZING.",575,2,"['snape', 'harry']"
579,snape,"Don't move, Potter. I'll get rid of it for you.",579,2,"['snape', 'harry']"
581,harry,"(in Parseltongue) Leave him! The snake looks into Harry's eyes, then turns for Justin.",581,2,"['snape', 'harry']"
582,harry,"(in Parseltongue) LEAVE HIM! The snake hovers a moment more, then -- miraculously -- slumps to the floor. Harry blinks, as if coming out of a trance, grins curiously at the snake, and offers his hand to Justin.",582,2,"['snape', 'harry']"
584,ron,"(taking Harry's arm) Come on. Move. Now. 71 INT. GRYFFINDOR COMMON ROOM - DAY (LATER) 71 Ron and Hermione usher Harry inside. Harry glances up, sees Ginny Weasley staring down at him from the top of the stairs. As their eyes meet, she turns for the girls' dormitory.",584,2,"['snape', 'harry', 'ron']"
585,ron,You're a Parselmouth! Why didn't you tell us?,585,2,"['snape', 'harry', 'ron']"
587,harry,I'm a what?,587,2,"['snape', 'harry', 'ron']"
588,hermione,You can talk to snakes.,588,2,"['snape', 'harry', 'hermione', 'ron']"
589,harry,"I know. I mean, I accidentally set a python on my cousin Dudley at the zoo once. But so what? I bet loads of people here can do it.",589,2,"['snape', 'harry', 'hermione', 'ron']"
970,snape,"Just the man. A girl has been snatched by the monster, Lockhart. Your moment has come at last.",970,2,"['ron', 'harry', 'snape']"
972,snape,Weren't you saying just last night that you've known all along where the entrance to the Chamber of Secrets is?,972,2,"['ron', 'harry', 'snape']"
977,ron,"She knew something, Harry. She'd found out something about the Chamber of Secrets. That's why she was taken. I mean, she was -- is -- a pure-blood. There can't be any other reason.",977,2,"['ron', 'snape']"
978,harry,"(pulling him away) C'mon. Let's go see Lockhart. He may be a brainless git, but he's going to try and get into the Chamber. We can tell him what we know...",978,2,"['ron', 'harry', 'snape']"
979,ron,"Harry. D'you think there's any chance at all she's not, you know -- Harry glances over, studies Ron's tortured eyes.",979,2,"['ron', 'harry', 'snape']"
980,harry,"We'll find her, Ron. Ginny's going to be fine.",980,2,"['ron', 'harry', 'snape']"
195,snape,"you may recall, prior to the start of term, i did express my concerns when you appointed professor --",195,3,"['albus dumbledore', 'ron', 'snape']"
196,albus dumbledore,"no... i feel quite confident the castle is safe. and i'm more than willing to let the students return to their houses. but tomorrow. for now, let them sleep... as dumbledore's gaze finds harry, he shuts his eyes, feigns sleep.",196,3,"['albus dumbledore', 'ron', 'snape']"
201,ron,"yeah, we'll call you... if we ever need someone mental.",201,3,"['albus dumbledore', 'ron', 'snape']"
203,harry,"excuse me, sir, but... where's professor lupin?",203,3,"['albus dumbledore', 'ron', 'harry', 'snape']"
204,ron,werewolves?,204,3,"['albus dumbledore', 'ron', 'harry', 'snape']"
205,snape,quiet!,205,3,"['albus dumbledore', 'ron', 'harry', 'snape']"
206,snape,"now. which of you can tell me the difference between an animagus and a werewolf? as the class stares mutely at a slide of an attacking werewolf, hermione waiting desperately for someone to respond to snape's question, the moth flutters by harry.",206,3,"['albus dumbledore', 'ron', 'harry', 'snape']"
208,hermione,"please, sir, an animagus is a wizard who elects to turn into an animal. a werewolf has no choice in the matter. furthermore, the werewolf actively hunts humans and responds only to the call of its own kind -- malfoy lets out a low howl.",208,3,"['ron', 'harry', 'snape', 'hermione']"
209,ron,"(to harry) he's got a point, you know. harry stares at the parchment. malfoy has drawn a crude caricature of harry in his quidditch robes being struck by lightning over and over.",209,3,"['ron', 'harry', 'snape', 'hermione']"
210,snape,"not exactly picasso, are you? i hope you demonstrate more talent on the quidditch pitch this weekend then you do as an artist.",210,3,"['ron', 'harry', 'snape', 'hermione']"
213,harry,faster! come on! the trace of a smile forms on harry's lips as he closes on the snitch... only yards away... reaching out... when...,213,3,"['ron', 'harry', 'snape', 'hermione']"
215,hermione,"no!!! harry and broom tumble in opposite directions. the nimbus soars end over end, tossed by the currents, then drops... right into the whomping willow. floomph! harry, in freefall, drops through one cloud, then another. plummeting through the circling dementors. then... a tall figure rises from the crowd. raises an open hand to the heavens. eyes angry but clear. dumbledore. an explosion -- more powerful than thunder -- rocks the air. a flash -- more fierce than lightning -- shocks the sky. and then...",215,3,"['ron', 'harry', 'snape', 'hermione']"
216,ron,"looks a bit peaky, doesn't he?",216,3,"['ron', 'harry', 'snape', 'hermione']"
218,hermione,harry! how're you feeling?,218,3,"['ron', 'harry', 'snape', 'hermione']"
219,harry,brilliant.,219,3,"['ron', 'harry', 'snape', 'hermione']"
220,harry,what happened?,220,3,"['ron', 'harry', 'snape', 'hermione']"
321,snape,"turn out your pockets! finally, harry obliges. seeing the map, snape's eyes glitter.",321,3,"['ron', 'harry', 'hermione', 'snape']"
322,harry,spare bit of parchment...,322,3,"['ron', 'harry', 'hermione', 'snape']"
323,snape,read it.,323,3,"['snape', 'harry', 'hermione']"
324,snape,go on.,324,3,"['snape', 'harry']"
325,snape,(smile drooping) why you insolent little --,325,3,"['snape', 'harry']"
326,snape,"well, well. lupin. out for a little walk in the moonlight, are we?",326,3,"['snape', 'harry']"
327,snape,"that remains to be seen. i've just now confiscated a rather curious artifact from mr. potter. take a look, lupin. this is supposed to be your area of expertise. lupin takes the parchment, which now displays a rather unflattering caricature of snape and a pair of potions.",327,3,"['snape', 'harry']"
330,harry,"professor. just so you know, i don't think the map always works. earlier, it showed someone in the castle. someone i know to be dead.",330,3,"['snape', 'harry']"
331,harry,"peter pettigrew. lupin hesitates ever-so-slightly, then returns to his papers.",331,3,"['snape', 'harry']"
335,hermione,here we go again. it's the grim! it's the grim!,335,3,"['snape', 'harry', 'hermione']"
399,snape,"(eying black) ah, vengeance is sweet. how i hoped i'd be the one to catch you.",399,3,"['ron', 'harry', 'snape']"
400,snape,i told dumbledore you were helping your old friend into the castle. and here's the proof.,400,3,"['ron', 'harry', 'snape']"
401,snape,give me a reason. i beg you.,401,3,"['ron', 'harry', 'snape']"
403,snape,(clucking his tongue) listen to you two. quarreling like an old married couple. the creature and the criminal.,403,3,"['ron', 'harry', 'snape']"
404,snape,"witty as ever i see. tell me, will you be so irreverent when i turn you over to the dementors? (as black reacts) do i detect a flicker of fear? one can only imagine what it must be like to endure the dementor's kiss. it's said to be unbearable to witness. but i'll do my best. snape's eyes harden. he gestures to the door.",404,3,"['ron', 'snape']"
405,harry,"expelliarmus! snape soars into the air, hits the wall with a thud, and slides down. ron and hermione stare in shock.",405,3,"['ron', 'harry', 'snape']"
406,harry,you said peter before. peter who?,406,3,"['ron', 'harry', 'snape']"
407,harry,"he killed no. pettigrew's dead. him. as harry points at black, black laughs mirthlessly.",407,3,"['ron', 'harry', 'snape']"
408,harry,the map was lying then --,408,3,"['ron', 'harry', 'snape']"
409,ron,m-me? it's lunatic...,409,3,"['ron', 'harry', 'snape']"
410,ron,scabbers? scabbers has been in my family for --,410,3,"['ron', 'harry', 'snape']"
411,ron,so what?,411,3,"['ron', 'harry', 'snape']"
414,ron,what are you going to do to him? sirius and lupin exchange a glance.,414,3,"['ron', 'harry', 'snape']"
