character,statement,line,book
dudley, I don't care how big they are!,47,1
petunia," Oh, now, now, now. This is what we're going to do, is that when we go out we're going to buy you two new presents! How's that, Pumpkin?",48,1
environment,"Outside, morning. The happy family is heading to the car. Harry goes to get in but is stopped by Vernon.",49,1
petunia, This will be a lovely day at the zoo. I'm really looking forward to it.,50,1
vernon," I'm warning you now, boy. Any funny business, any at all, and you won't have any meals for a week. Get in.",51,1
environment,"The zoo. The family is in the reptile house, looking at a large BOA CONSTRICTOR.",52,1
dudley, Make it move.,53,1
environment,Vernon raps the glass of the cage.,54,1
vernon, Move!,55,1
environment,"Dudley raps the glass much harder, and Vernon winces.",56,1
dudley, MOVE!,57,1
harry, He's asleep!,58,1
dudley, He's boring.,59,1
environment,Dudley and his parents retreat to another enclosure. Harry is left with the snake.,60,1
harry," Sorry about him. He doesn't understand what it's like, lying there day after day, having people press their ugly faces in on you.",61,1
environment,The snake looks up and blinks.,62,1
harry," Can you...hear me? {The snake nods} It's just...I've never talked to a snake before. Do you...I mean...do you talk to people often? {The snake shakes its head} You're from Burma, aren't you? Was it nice there, do you miss your family? {The snake turns its head in the direction of a sign which says, Bred in Captivity} I see. That's me as well. I never knew my parents, either.",63,1
environment,"The now awake snake has attracted Dudley's attention. He rips over to the cage, knocking Harry to the floor.",64,1
dudley," Mummy, dad, come here! You won't believe what this snake is doing!!",65,1
environment,"Dudley puts his hands on the glass wall. Harry, from the ground, glares at him. Suddenly, the glass disappears. Dudley wretches forward.",66,1
dudley, Whoa! Ahh! Ahh!!,67,1
environment,"Dudley falls into the snake enclosure, sputtering in a pool of water. The snake gets out of the exhibit, stopping in front of Harry.",68,1
snake, Thankssssssss.,69,1
harry, Anytime.,70,1
environment,The snake starts off.,71,1
man, SNAKE!,72,1
environment,"There is a lot of screaming as the snake heads for freedom. Dudley gets up to get out, but the glass is now back over the enclosure. He is stuck. He pounds the glass.",73,1
dudley," Mum, mummy!",74,1
petunia, {Sees him} AHH!,75,1
dudley," Mum, help! Help me!",76,1
petunia, My darling boy! How did you get in there?!,77,1
harry, {Grins and giggles},78,1
environment,"Vernon glares down at him and Harry's grin disappears. Petunia continues screaming: How did you get in there? Dursley, oh, Dursley!",79,1
environment,Back at the Dursley's. Petunia and a bundled up Dudley come in.,80,1
petunia, It's all right. It's all right.,81,1
environment,"They disappear around the corner. Harry and Vernon enter. Vernon slams the door and shoves Harry against a wall, taking his hair.",82,1
harry, Ow!,83,1
vernon, What happened?,84,1
harry, I swear I don't know! One minute the glass was there and then it was gone! It was like magic!,85,1
vernon, {Scoffs and shoves Harry into the closet} There's no such thing as magic!,86,1
environment,"Outside, some time later. An owl flies by the house and drops a letter, which zooms in the letterbox. It lands away from the house and hoots.",87,1
environment,"Harry, inside, goes to collect the mail. He sorts through the letters and sees his, addressed to him. He goes into the kitchen, hands Vernon the rest of the mail, and walks around the other side of the table to see his letter.",88,1
vernon," Ah, Marge is ill. Ate a funny whelk.",89,1
dudley," {Sees Harrys letter. He runs and grabs it} Dad, look! Harry's got a letter!!",90,1
harry," Hey, give it back! It's mine!",91,1
vernon, {Laughs} Yours? Who'd be writing to you?,92,1
environment,The family gathers to look at the address. There is a broken seal on the letter. The family looks up and Harry gulps.,93,1
environment,"Another owl flies by with a letter and drops it off. Inside, Vernon grabs a handful of letters and rips them up.",94,1
environment,"In the closet, Harry hears a whirring noise. He looks out at Vernon drilling wood over the letterbox opening.",95,1
vernon, No more mail through this letterbox.,96,1
environment,"Outside, Vernon and Petunia appear. Vernon is about to head off to work. Petunia kisses his cheek.",97,1
petunia," Have a lovely day at the office, dear.",98,1
environment,"She stops, looks and sees a bunch of owls.",99,1
vernon, Shoo! Go on!,100,1
environment,Inside. Vernon is tossing letters into the fireplace. Harry comes around the corner. Vernon grins evilly and tosses more in.,101,1
environment,"Living/Family room. The family is sitting around, Harry is serving cookies.",102,1
vernon," Fine day Sunday. In my opinion, best day of the week. Why is that, Dudley?",103,1
environment,Dudley shrugs.,104,1
harry," {Hands cookie to Vernon} Because there's no post on Sunday? Ah, right you are, Harry. No post on Sunday. Hah! No blasted letters today. No, sir. {Harry sees a shadow outside the window. Outside, millions of owls are perched.} No sir, not one blasted, miserable---",105,1
environment,A letter shoots out of the fireplace and zips across Vernons face. There is a rumbling and then zillions of letters come shooting out of the fireplace.,106,1
dudley, AHH! Make it stop! Please make it stop! {He jumps on Petunias lap},107,1
environment,Petunia and Vernon: {Screaming},108,1
vernon," Go away, ahh!",109,1
dudley, What is it? Please tell me what's happening!,110,1
environment,Harry jumps onto the coffee table to grab a letter. He gets one and starts to run away. Vernon jumps up as well.,111,1
vernon, Give me that! Give me that letter!,112,1
environment,He chases Harry and grabs him before Harry gets into his closet.,113,1
harry, Get off! Ahh!,114,1
vernon, Ahh!,115,1
harry, They're my letters! Let go of me!,116,1
vernon, That's it! We're going away! Far away! Where they can't find us!,117,1
dudley," Daddy's gone mad, hasnt he?!",118,1
environment,"A house, on a rock island somewhere out at sea. The family is sleeping, with Harry on the cold, dirt floor. He has drawn a birthday cake which reads, Happy Birthday Harry. Harry looks at Dudley's watch, which beeps 12:00.",119,1
harry," Make a wish, Harry. {Blows}",120,1
environment,"Suddenly, the door thumps. Harry jumps. The door thumps again and Dudley and Harry jump up and back away. Petunia and Vernon appear, Vernon with a gun. The door bangs again and then cracks open, and a giant man appears.",121,1
vernon, Who's there? Ahh!,122,1
hagrid, Sorry 'bout that. {He puts the door back up},123,1
vernon," I demand that you leave at once, Sir! You are breaking and entering!",124,1
petunia, Ooh.,125,1
environment,"Hagrid comes over, grabs the gun and bends it upwards.",126,1
hagrid," Dry up, Dursley, you great prune. {The gun fires}",127,1
all, Ahh!,128,1
hagrid," {sees Dudley} Mind, I haven't seen you since you was a baby, Harry, but you're a bit more along than I would have expected. Particularly 'round the middle!",129,1
dudley, I-I-I'm not Harry.,130,1
environment,Harry appears: I-I am.,131,1
hagrid," Oh, well, of course you are! Got something for ya. 'Fraid I might have sat on it at some point! I imagine that it'll taste fine just the same. Ahh. Baked it myself. {Hands Harry the cake} Words and all. Heh.",132,1
harry," Thank you! {Opens cake, which reads: Happee Birdae Harry.}",133,1
hagrid," It's not every day that your young man turns eleven, now is it?",134,1
environment,"Hagrid sits down on the couch, takes out an umbrella and points it at the empty fire. Poof, poof! Two sparks fly out and the fire starts. The family gapes.",135,1
harry," {puts cake down} Excuse me, who are you?",136,1
hagrid," Rubeus Hagrid. Keeper of keys and grounds at Hogwarts. Course, you'll know all about Hogwarts.",137,1
harry," Sorry, no.",138,1
hagrid," No? Blimey, Harry, didn't you ever wonder where your mum and dad learned it all?",139,1
harry, Learnt what?,140,1
hagrid," You're a wizard, Harry.",141,1
harry, I-I'm a what?,142,1
harry," A wizard. And a thumping good one at that, I'd wager. Once you train up a little.",143,1
harry," No, you've made a mistake. I can't be...a-a wizard. I mean, I'm just... Harry. Just Harry.",144,1
hagrid," Well, Just Harry, did you ever make anything happen? Anything you couldn't explain when you were angry or scared? {Harry softens his expression} Ah.",145,1
dudley, {whimpers},146,1
environment,Hagrid hands Harry the same letter that has been sent the past while. Harry opens it.,147,1
harry," Dear, Mr. Potter. We are pleased to inform you that you have been accepted at Hogwarts' School of Witchcraft and Wizardry!",148,1
vernon, Hell not be going! We swore when we took him in wed put an end to this rubbish!,149,1
harry, You knew?? You knew all along and you never told me?,150,1
petunia," Of course we knew. How could you not be? My perfect sister being who she was. Oh, my mother and father were so proud the day she got her letter. We have a witch in the family. Isn't it wonderful? I was the only one to see her for what she was. A freak! And then she met that Potter, and then she had you, and I knew you'd be just the same, just as strange, just as ... abnormal. And then, if you please, she went and got herself blown up! And we got landed with you.",151,1
harry, Blown up? You told me my parents died in a car crash!,152,1
hagrid, A car crash? A car crash kill James and Lily Potter?,153,1
petunia, We had to tell him something.,154,1
hagrid, It's an outrage! It's a scandal!,155,1
vernon, He'll not be going!,156,1
hagrid," Oh, and I suppose a great Muggle like yourself's going to stop him, are you?",157,1
harry, Muggle?,158,1
hagrid," Non magic folk. This boy's had his name down ever since he was born! He's going to the finest school of witchcraft and wizardry in the world, and he'll be under the greatest headmaster Hogwarts' has ever seen: Albus Dumbledore.",159,1
vernon, I will not pay for some crackpot old fool to teach him magic tricks!,160,1
hagrid, {whips out umbrella and points it at Vernon} Never insult Albus Dumbledore in front of me.,161,1
environment,"Hagrid sees Dudley eating Harry's cake, and points the umbrella at his rear. A grey tail grows.",162,1
dudley, Ahh!,163,1
all, Ahh! {family chases Dudley},164,1
harry, {laughs},165,1
hagrid," Oh, um, I'd appreciate if you didn't tell anyone at Hogwarts about that. Strictly speaking, I'm not allowed to do magic.",166,1
harry, {Nods} Okay.,167,1
hagrid," {checks a clock} Ooh, we're a bit behind schedule. Best be off. Unless you'd rather stay, of course. Hmm? {Leaves}",168,1
environment,"Harry grins, looks back, and grins again.",169,1
environment,Streets of London. Hagrid and Harry are walking.,170,1
harry," All students must be equipped with...one standard size two pewter cauldron and may bring if they desire either an owl, a cat or a toad. Can we find all this in London?",171,1
hagrid, If you know where to go.,172,1
environment,"They go to a corner store and enter, The Leaky Cauldron.",173,1
environment,{Music and talking},174,1
environment,"Barkeep Tom: Ah, Hagrid! The usual, I presume?",175,1
hagrid," No thanks, Tom. I'm on official Hogwarts business today. Just helping young Harry here buy his school supplies.",176,1
tom, Bless my soul. It's Harry Potter.,177,1
environment,The pub goes silent. A man comes up and shakes Harrys hand.,178,1
man," Welcome back, Mr. Potter, welcome back.",179,1
environment,"A witch comes up and shakes Harrys hand, as well.",180,1
witch," Doris Crockford, Mr. Potter. I can't believe I'm meeting you at last.",181,1
environment,A man in robes with a turban on his head appears. It is PROFESSOR QUIRRELL.,182,1
quirrell, Harry P-potter. C-can't tell you how pleased I am to meet you.,183,1
hagrid," Hello, Professor. I didn't see you there. Harry, this is Professor Quirrell. He'll be your Defense Against the Dark Arts teacher at Hogwarts.",184,1
harry," Oh, nice to meet you. {Puts out hand. Quirrell refuses}",185,1
quirrell," F-fearfully fascinating subject. N-not that you need it, e-eh, Potter? Heheh.",186,1
hagrid," Yes, well, must be going now. Lots to buy. Heh.",187,1
harry, Good-bye.,188,1
environment,The two leave into a back room winery in front of a brick wall.,189,1
hagrid," See, Harry, you're famous!",190,1
harry," But why am I famous, Hagrid? All those people back there, how is it they know who I am?",191,1
hagrid," I'm not exactly sure I'm the right person to tell you that, Harry. {Taps the brick wall clockwise with his umbrella. The blocks shift and open up to reveal a hidden, busy street.}",192,1
environment,"Welcome, Harry, to Diagon Alley.",193,1
environment,Harry grins broadly as they step into the street and walk down it. An owl screeches.,194,1
hagrid," Here's where you'll get your quills and ink, and over there all your bits and bobs for doing your wizardry.",195,1
environment,"Harry is amazed as they pass by shops and owls and bats. The camera pans on a broom store, where a group of boys are crowded around a shiny broom.",196,1
boy," It's a world class racing broom. Look at it, its the new Nimbus 2000! It's the fastest model yet.",197,1
harry," But, Hagrid, how am I to pay for all this? I haven't any money.",198,1
hagrid," Well there's your money, Harry. Gringotts, the Wizard Bank. T'aint no place safer, 'cept perhaps Hogwarts.",199,1
environment,"Inside the bank, they walk down the shiny aisle, passing tiny creatures working.",200,1
harry," Uh, Hagrid, what exactly are those things?",201,1
hagrid," They're goblins, Harry. Clever as they come goblins but not the most friendly of beasts. Best stick close to me. {Harry sticks to him.} {Hagrid clears his throat as they approach a counter with a goblin in it.} Mr. Harry Potter wishes to make a withdrawal.",202,1
environment,The goblin looks up.,203,1
goblin, And does Mr. Harry Potter have his key?,204,1
hagrid," Oh. Wait a minute. Got it here somewhere. Hah. Here's the little devil. Oh, and there's something else as well. Professor Dumbledore gave me this. It's about you-know-what in vault you-know-which. {Hands Goblin letter wrapped in string.}",205,1
goblin, Very well.,206,1
environment,"Racing down the depth caverns in a cartlike structure. The cart stops, a goblin, GRIPHOOK, clambers out.",207,1
griphook," Vault 687. Lamp, please. {Hagrid hands him the lamp and he walks to the vault} Key please. {Hagrid hands him the key and he unlocks it}",208,1
environment,The room is filled nearly top to bottom with coins. Harry is amazed.,209,1
hagrid," Didn't think your mum and dad would leave you with nothing, now didja?",210,1
environment,They continue on through the cavern.,211,1
griphook, Vault 713.,212,1
harry," What's in there, Hagrid?",213,1
hagrid," Can't tell you, Harry. It's Hogwarts business. Very secret.",214,1
griphook, Stand back. {Slides finger down the door. Clank. Clank. The vault opens to expose a small white stone package. Hagrid hurries in and scoops it up. The eerie light it was shining with disappears.},215,1
hagrid," Best not mention this to anyone, Harry.",216,1
environment,Harry nods.,217,1
scene," Outside in the street, walking.",218,1
harry, I still need...a wand.,219,1
hagrid," A wand? Well, you'll want Ollivanders. No place better. Run along there, but wait. I just got one more thing I got to do. Won't be long.",220,1
environment,"Harry goes into the store, quietly. He looks around. There are shelves of wands, but no people.",221,1
harry, {Softly} Hello? Hello?,222,1
environment,There is a thunk. A man appears on a ladder and looks at Harry. He smiles.,223,1
ollivander," I wondered when I'd be seeing you, Mr. Potter. It seems only yesterday that your mother and father were in here buying their first wands. {Picks a wand} Ah. Here we are. {Harry holds it but just stands} Well, give it a wave.",224,1
harry, Oh! {waves. All the shelves come crashing down. Harry jumps and hurriedly puts the wand back on the counter.},225,1
ollivander," Apparently not. {Gets another wand.} Perhaps this. {Harry waves at a vase, which blows apart.} No, no, definitely not! No matter...{gets a wand} I wonder. {Hands wand to Harry. Harry glows under it.} Curious, very curious.",226,1
harry," Sorry, but what's curious?",227,1
ollivander," I remember every wand I've ever sold, Mr. Potter. It just so happens that the phoenix, whose tail feather resides in your wand gave one other feather, just one. It is curious that you should be destined for this wand when its brother gave you that scar. {Points to scar}",228,1
harry, And...who owned that wand?,229,1
ollivander," Oh, we do not speak his name. The wand chooses the wizard, Mr. Potter. It's not always clear why, but I think it is clear that we can expect great things from you. After all, He-Who-Must-Not-Be-Named did great things...terrible, yes, but great. {Hands Harry his wand.}",230,1
environment,There is a knock on the window.,231,1
hagrid, Harry! Harry! Happy birthday! {Has a snowy owl in a cage which hoots.},232,1
harry, Wow.,233,1
scene," Later, eating supper. The two, Hagrid and Harry, are at a long table, eating soup.",234,1
hagrid," You all right, Harry? You seem very quiet.",235,1
harry," He killed my parents, didn't he? The one who gave me this. You know, Hagrid, I know you do.",236,1
hagrid," {Sighs and pushes bowl away} First, and understand this, Harry, 'cause it's very important. Not all wizards are good. Some of them go bad. A few years ago there was one wizard who went as bad as you can go. And his name was V-...his name was V-...",237,1
harry, Maybe if you wrote it down?,238,1
hagrid," No, I can't spell it. All right. His name was Voldemort.",239,1
harry, Voldemort?,240,1
hagrid, Shh!!,241,1
environment,{Harry looks around},242,1
environment,"A flashback ensues, consisting off a cloaked man walking towards a house, breaking in with his wand, and proceeding to terrorize. Hagrid narrates.",243,1
hagrid," It was dark times, Harry, dark times. Voldemort started to gather some followers, brought 'em over to the dark side. Anyone that stood up to him ended up dead. Your parents fought against him, but nobody lived once he decided to kill 'em. {Harrys mother, LILY, screams as she is killed by Voldemorts wand} Nobody...not one. Except you. {close-up of baby Harry.}",244,1
harry, Me? Voldemort tried to kill...me?,245,1
hagrid," Yes. That ain't no ordinary cut on your forehead, Harry. A mark like that only comes from being touched by a curse...and an evil curse at that.",246,1
harry, What happened to Vo-...to You-Know-Who?,247,1
hagrid," Some say he died. Codswallop in my opinion. Nope, I reckon he's out there, still, too tired to go on. But one thing's absolutely certain. Something about you stumped him that night. That's why you're famous, Harry. That's why everbody knows your name. You're the boy who lived.",248,1
scene," London Train Station. Up on a crossing bridge, Harry (with cart and owl) walk beside Hagrid.",249,1
environment,A couple look at Hagrid.,250,1
hagrid," What're you looking at? {Looks at watch} Blimey, is that the time?? Sorry, Harry, I'm gonna have to leave you. Dumbledore'll be wanting his...well, he'll be wanting to see me. Now, uh, your train leaves in 10 minutes. Here's your ticket. Stick to it, Harry that's very important. Stick to your ticket.",251,1
environment,Harry looks at his golden ticket.,252,1
harry," Platform 9 ¾? But Hagrid, there must be a mistake. This says Platform 9 ¾. There's no such thing...is there? {Harry looks up and Hagrid has vanished.}",253,1
scene, Harry is walking down lane between trains. A man rushes by.,254,1
man, Sorry.,255,1
environment,Harry sees a train master.,256,1
harry," Excuse me, excuse me.",257,1
trainmaster," {talking to woman and child} Right on your left, ma'am.",258,1
harry," Excuse me, Sir. Can you tell me where I might find Platform 9 ¾?",259,1
trainmaster," 9 ¾? Think youre being funny, do ya? {Leaves}",260,1
environment,"A woman, daughter, and four boys walk by, pushing carts.",261,1
environment,"Mrs. Weasley: It's the same year after year. Always packed with Muggles, of course.",262,1
harry, Muggles?,263,1
environment,"Mrs. Weasley: Come on. Platform 9 ¾ this way! All right, Percy, you first.",264,1
environment,"A tall boy with red hair comes forward and runs towards a brick wall. Amazingly, he disappears right into it. Harry is amazed.",265,1
environment,"Mrs. Weasley: Fred, you next.",266,1
george," He's not Fred, I am!",267,1
fred," Honestly, woman, you call yourself our mother!",268,1
environment,"Mrs. Weasley: Oh, I'm sorry, George.",269,1
fred," I'm only joking. I am Fred. {He runs through the wall, and is followed by his twin brother.}",270,1
environment,Harry shakes his head in disbelief.,271,1
harry, Excuse me! C-could you tell me how to,272,1
environment,"Mrs. Weasley: How to get on the platform? Yes, not to worry, dear. It's Ron's first time to Hogwarts as well. {pan to a red haired boy who smiles} Now, all you've got to do is walk straight at the wall between platforms 9 and 10. Best do it at a bit of a run if youre nervous.",273,1
environment,Ginny (daughter): Good luck.,274,1
environment,"Harry takes a breath and runs at the wall. He shuts his eyes and emerges on the other side a magnificent station with a red train and bundles of people. A whistle blows, and Harry sighs with relief.",275,1
scene," The train is traveling through unknown country. Pan to inside compartment, where Harry is sitting. The red headed boy, RON, appears, dirt on his nose.",276,1
ron," Excuse me, do you mind? Everywhere else is full.",277,1
harry," No, not at all.",278,1
ron," {sits across from Harry} I'm Ron, by the way. Ron Weasley.",279,1
harry, I'm Harry. Harry Potter.,280,1
environment,{Ron goes agape.},281,1
ron," So-so it's true?! I mean, do you really have the...the...",282,1
harry, The what?,283,1
ron, {whispers} Scar...?,284,1
harry," Oh, yeah. {lifts up hair}",285,1
ron, Wicked.,286,1
environment,"A trolley comes by the compartment, full of sweets.",287,1
woman," Anything off the trolley, dears?",288,1
ron," {Holds up mushed sandwiches} No, thanks, I'm all set. {smacks lips.}",289,1
harry, {pulls out coins} We'll take the lot!,290,1
ron, Whoa!,291,1
scene, Eating bundles of sweets.,292,1
environment,"Ron's rat, Scabbers, is perched on Ron's knee, a box over its head.",293,1
harry, Bertie Bott's Every Flavour Beans?,294,1
ron," They mean every flavour! There's chocolate and peppermint, and there's also spinach, liver and tripe. George sweared he got a bogey-flavoured one once!",295,1
environment,Harry quickly takes the bean he was chewing out of his mouth.,296,1
harry," {picks up blue and gold package} These aren't real chocolate frogs, are they?",297,1
ron," It's only a spell. Besides, it's the cards you want. Each pack's got a famous witch or wizard. I got about 500 meself.",298,1
frog," Ribbit. {The frog jumps onto the window and climbs up, then leaps out the window...disappearing.}",299,1
ron," Oh, that's rotten luck. They've only got one good jump in them to begin with.",300,1
harry," Hey, I got Dumbledore!",301,1
ron, I got about 6 of him.,302,1
harry," Hey, he's gone!",303,1
ron," Well, you can't expect him to hang around all day, can you? {Scabbers squeaks} This is Scabbers, by the way, pitiful, isn't he?",304,1
harry, Just a little bit.,305,1
ron, Fred gave me a spell as to turn him yellow. Want to see?,306,1
harry, Yeah!,307,1
ron, {clears throat} Ahem. Sun-,308,1
environment,"A girl, HERMIONE GRANGER, with bushy brown hair appears at the doorway.",309,1
hermione, Has anyone seen a toad? A boy named Neville's lost one.,310,1
ron, No.,311,1
hermione," Oh, are you doing magic? Let's see then.",312,1
ron," Aghhhemm. Sunshine, daises, butter mellow, turn this stupid fat rat yellow!",313,1
environment,{Zap. Nothing happens. Ron shrugs.},314,1
hermione," Are you sure that's a real spell? Well, it's not very good, is it? Of course I've only tried a few simple spells myself, and they've all worked for me. For example...{Hermione goes over and sits across from Harry. He points her hand at his glasses and Harry tenses} Oculus Reparo. {The glasses, which noseband is battered, are repaired. Harry takes them off, amazed.} That's better, isn't it? Holy Cricket, you're Harry Potter. I'm Hermione Granger...and you are...?",315,1
ron, {full mouth} I'm...Ron Weasley.,316,1
hermione," Pleasure. You two better change into your robes. I expect we'll be arriving soon. {Gets up and leaves, then comes back and looks at Ron.} You've got dirt, on your nose, by the way, did you know? Just there. {Points} {Ron scratches his nose, embarrassed.}",317,1
scene," Darkness, the train blows its whistle and pulls into an outdoor station. Hagrid walks along the side aisle, with a lantern. People begin pouring out of the train.",318,1
hagrid," Right, then! First years! This way, please! Come on, now, don't be shy! Come on now, hurry up!",319,1
environment,Harry and Ron walk up to Hagrid.,320,1
hagrid," Hello, Harry.",321,1
harry," Hey, Hagrid.",322,1
ron, Whoaa!,323,1
hagrid," Right then. This way to the boats! Come on, now, follow me.",324,1
environment,"A number of boats are plugging across a vast lake, where up ahead a huge castle can be seen. People are in awe.",325,1
ron, Wicked.,326,1
scene," On a higher level, Professor McGonagall is waiting. She raps her fingers on a stone railing, and then goes to the top of the stairs to greet the newcomers.",327,1
mcgonagall," Welcome to Hogwarts. Now, in a few moments, you will pass through these doors and join your classmates. But before you can take your seats you must be sorted into your houses. They are Gryffindor, Ravenclaw, Hufflepuff, and Slytherin. Now, while you are here, your house will be like your family. Your triumphs will earn you house points. Any rule breaking, and you will lose points. At the end of the year, the house with the most points is awarded the house cup",328,1
environment,"NEVILLE LONGBOTTOM, a scared looking boy, spots his toad sitting near McGonagall. He jumps forward.",329,1
neville, Trevor! {McGonagall stares down at him} Sorry. {He backs away.},330,1
mcgonagall, The sorting ceremony will begin momentarily. {leaves},331,1
environment,"DRACO MALFOY, a slicked back evil looking boy speaks up.",332,1
draco," It's true then, what they're saying on the train. Harry Potter has come to Hogwarts. {Students whisper, Harry Potter?} This is Crabbe, and Goyle {nods to thugs} and I'm Malfoy...Draco Malfoy. {Ron snickers at his name} Think my name's funny, do you? No need to ask yours. Red hair, and a hand me down robe? You must be a Weasley. Well soon find that some wizarding families are better than others, Potter. Dont want to go making friends with the wrong sort. I can help you there. {extends hand.}",333,1
harry," I think I can tell who the wrong sort are for myself, thanks.",334,1
environment,Draco glares. McGonagall returns and smacks him on the shoulder with a paper. He retreats with one last glare.,335,1
mcgonagall, We're ready for you now.,336,1
environment,"She leads everyone through two large doors and into the Great Hall, where there are four long tables with many kids, as well as floating candles. The roof appears to be the sky.",337,1
hermione," It's not real, the ceiling. It's just bewitched to look like the night sky. I read about it in Hogwarts: A History.",338,1
mcgonagall," All right, will you wait along here, please? Now, before we begin, Professor Dumbldedore would like to say a few words.",339,1
environment,Dumbledore rises from the main table.,340,1
dumbledore," I have a few start of term notices I wish to announce. The first years please note that the dark forest is strictly forbidden to all students. Also, our caretaker, Mr. Filch {signals to ragged old man with a cat with red eyes} has asked me to remind you that the 3rd floor corridor on the right hand side is out of bounds to everyone who does not wish to die a most painful death. Thank you.",341,1
mcgonagall," When I call your name, you will come forth, I shall place the sorting hat on your head, and you will be sorted into your houses. Hermione Granger.",342,1
hermione," Oh, no. Okay, relax. {She goes up}",343,1
ron," Mental that one, I'm telling you.",344,1
environment,Harry nods in agreement.,345,1
environment,"Sorting Hat: Ah, right then...hmm...right. Okay...Gryffindor!!",346,1
environment,(Cheering),347,1
environment,Hermione jumps off with a smile.,348,1
mcgonagall, Draco Malfoy.,349,1
environment,Draco saunters up proudly. The tattered hat nearly freaks before touching down on Dracos head.,350,1
environment,Sorting Hat: SLYTHERIN!,351,1
ron, There isn't a witch or wizard who went bad who wasnt in Slytherin.,352,1
mcgonagall, Susan Bones.,353,1
environment,"A small, redhead goes up.",354,1
environment,"Harry looks around and spots a black haired, pale teacher, SEVERUS SNAPE, looking at him. His scar hurts.",355,1
harry, Ahh! {puts hand on forehead},356,1
ron," Harry, what is it?",357,1
harry," Nothing...it's nothing, I'm fine.",358,1
environment,Sorting Hat: Let's see...I know...Hufflepuff!,359,1
mcgonagall, Ronald Weasley.,360,1
environment,Ron gulps and walks up. He sits down and the hat is put on.,361,1
environment,Sorting Hat: Ah! Another Weasley. I know just where to put you...Gryffindor!!,362,1
ron, {Sighs},363,1
environment,(Cheering),364,1
