character,statement,line,book
environment,"as harry moves down the stairs, voices come from below.",57,3
environment,"he's a cat, ronald! what do you expect? it's in his nature. as harry reaches bottom, he finds ron weasley protectively cradling scabbers, while hermione grander does her best to restrain a hissing crookshanks.",58,3
hermione,"that's rich coming from the owner of that smelly old shoe brush. (cooing to the cat) it's all right, crookshanks. you just ignore the mean little boy... then, sensing another presence in the room, both turn.",59,3
"a headline screams: ""grand prize winner visits egypt!""","in the accompanying photo, the entire weasley family stands before the great pyramids, waving. smack in the middle is ron, scabbers perched on his shoulder.",60,3
harry,egypt! what's it like?,61,3
hermione,"you know, the ancient egyptians of the nile river delta worshipped the cat goddess bast. ron glares stonily at hermione, then turns back to harry.",62,3
george,"not flashing that clipping about again, are you, ron?",63,3
fred,"no, not a soul. unless you count tom. the day maid. the night maid. the cook. the bloke that came to fix the toilet. that wizard from belgium... mrs. weasley takes harry's face in her hands, smiles. as if relieved to see him.",64,3
harry,"good to see you too, mrs. weasley.",65,3
harry,"of course, mr. weasley. as mr. weasley pulls harry away, the others continue to hover over the clipping in the b.g.",66,3
ginny,"that's your nose, fred.",67,3
arthur weasley,harry. there are some within the ministry who would strongly discourage me from divulging what i'm about to tell you. but i think you need to know the facts. because you're in danger. grave danger. harry's eyes drift to the fugitive poster.,68,3
arthur weasley,"what do you know of sirius black, harry?",69,3
arthur weasley,"harry, thirteen years ago, when you stopped... mr. weasley hesitates, unable to continue.",70,3
arthur weasley,"(nodding nervously) black lost everything. but he remains a loyal servant to this day. in his mind, only you stand in the way of... once again, mr. weasley hesitates.",71,3
arthur weasley,"harry, i hate it when you say --",72,3
arthur weasley,"in black's mind, only you stand in the way of... you-know-who returning to power. that's why he's broken. that's why he's broken out of azkaban. to find you. and... mr. weasley hesitates yet again.",73,3
arthur weasley,harry. i want you to swear that -- whatever you might hear -- you won't go looking for black.,74,3
arthur weasley,"just watch yourself, will you, harry?",75,3
mrs. weasley,ron! she hands scabbers through the open window to him.,76,3
harry,i didn't mean to blow her up. i just... (troubled by the memory) ... lost control.,77,3
hermione,"honestly, ron, it's not funny. harry's lucky he wasn't expelled.",78,3
harry,"hi, neville. as he bumps past, hermione nods to a compartment.",79,3
hermione,"hi, neville. as he bumps past, hermione nods to a compartment.",79,3
ron,"hi, neville. as he bumps past, hermione nods to a compartment.",79,3
environment,"as they slip inside, they find a man in shabby robes (professor lupin) slumped against the window, asleep. he looks ill, exhausted. the trio eye him warily. whisper.",82,3
hermione,professor r.j. lupin.,83,3
hermione,"it's on his case. she points. stamped in peeling letters on a battered case is ""professor r.j. lupin.""",84,3
hermione,"seems to be. why? what is it, harry?",85,3
environment,"ron and hermione stare at harry, faces stricken in the lantern light that now glows in the compartment. crookshanks slumbers in his cage.",86,3
harry,yes.,87,3
ron,"sure -- of course, no one's ever broken out of azkaban before and he's a raving, murderous lunatic... just then, the compartment rattles. lanterns flicker. the train lurches, begins to slow. hermione slides down the seat, pinning ron against the window. they exchange an awkward glance, then hermione carefully slides to the other end of the seat and glances at her watch. frowns.",88,3
environment,... die. one by one. until all is...,89,3
ron,what's going on?,90,3
environment,a thin wisp of steam escapes ron's mouth. harry notices.,91,3
hermione,"ouch! ron, that was my foot! squeak-squeak-squeak. ron, a dark silhouette against the window, wipes a patch of condensation from the window.",92,3
ron,"bloody hell. what's happening? ssssst! a soft crackling fills the car and flames bloom... in the hands of r.j. lupin. in the shivering light, his face looks tired and gray, but his eyes are alert. wary.",93,3
hermione,"harry? harry, are you all right? hermione's troubled face hovers above him. he nods. sits up. ron -- pale, nervous -- extends his hand. harry's glasses.",94,3
professor lupin,chocolate. eat. it'll help.,95,3
professor lupin,a dementor. one of the guards of azkaban. it's gone now. harry frowns in confusion.,96,3
professor lupin,"i need to have a word with the driver. excuse me. (the chocolate) eat. it'll help. as he leaves, harry turns to ron and hermione.",97,3
ron,"well, you sort of went... rigid. we thought maybe you were having a fit or something.",98,3
ron,no. i felt... weird. like i'd never be cheerful again. but... no. harry turns to hermione. she shakes her head.,99,3
harry,but someone was screaming. a woman. hermione and ron glance nervously at each other.,100,3
dumbledore,"welcome! welcome to another year at hogwarts! i have a few things to say, before we become befuddled by our excellent feast. i myself am particularly looking forward to the flaming kiwi cups, which, while somewhat treacherous for those of us with facial hair... mcgonagall clears her throat.",101,3
dumbledore,"as some of you may know, professor kettleburn, our care of magical creatures teacher for many years, has decided to retire in order to spend more time with his remaining limbs. fortunately, i'm delighted to announce that his place will be filled by none other than our own rubeus hagrid!",102,3
environment,"harry, ron, and hermione stare at each other -- stunned -- then applaud vigorously. hagrid turns ruby red, rises, and nearly topples the staff table, sending water goblets weaving.",103,3
dumbledore,"the dementors will be stationed at the entrances to the grounds. while they are under strict orders not to enter the castle itself, you will on occasion see them as you go about your daily activities. under no circumstances are you to approach them. it is not in the nature of a dementor to be forgiving.",104,3
environment,"harry, ron and hermione arrive at the seventh floor landing and approach the fat lady in the portrait.",105,3
environment,"the gryffindors trail through the common room, the girls heading one way, boys the other.",106,3
ron,"good to be home, eh, harry? harry turns -- caught -- and finds ron studying him from his own bed, scabbers cradled in his hand. harry nods and turns to the window..",107,3
environment,harry continues to stare.,108,3
environment,"as bridge and castle glimmer in the distance, hagrid emerges from the forbidden forest, dragging a fistful of dead ferrets by the tail. a bird appears, circles his head playfully, chirp-chirp-chirping merrily before it... ... flutters off, pin-wheeling past flowers, into a birdbath, finally coming to rest upon... ... an ancient tree. it twitters cheerfully, singing its lovely song, when -- thwock! -- a branch punts the bird into the air. as feathers fly, the whomping willow resumes its shape.",109,3
environment,"harry, ron and hermione sit on fat little pouffes in a murky, incense-laden room, along with neville, dean, seamus, lavender brown, parvati patil and others.",110,3
professor trelawney,"... the sight. hello. i am professor trelawney. together, we shall cast ourselves into the future. but know this. one either has the gift or not. it cannot be divined from the pages of a book. books only cloud one's inner eye.",111,3
ron,where'd you come from?,112,3
professor trelawney,"(spinning on neville) you, boy! is your grandmother well?",113,3
professor trelawney,"i wouldn't be so sure of that. (continuing) the first term will be devoted to the reading of tea leaves. if all goes well, we will proceed to palmistry, fire omens, and finally... the crystal ball. (eyeing parvati) by the way, dear, beware a red- haired man.",114,3
environment,parvati eyes ron dubiously. edges her pouffe away.,115,3
professor trelawney,well then. shall we?,116,3
teacup - detail - later,"inside, a cloud of tea leaves mutates oddly. harry, sitting opposite ron now, frowns at the leaves, consults the symbols in the textbook (unfogging the future) at his elbow. trelawney walks amongst them, robes flowing.",117,3
professor trelawney,"a five-leaf clover... you can expect to wake with a horrible rash tomorrow morning, dear. (then, casually) mr. longbottom, after you've broken your first cup... ca-chink! neville fumbles the cup in his hands and the brittle crash of china is heard.",118,3
ron,"well. he's got a wonky sort of cross -- that's trials and suffering. but this lot here could be the sun -- that's great happiness. so... he's going to suffer but be very happy about it. professor trelawney takes the cup, peers inside, and",119,3
professor trelawney,ahhh!,120,3
professor trelawney,my dear boy... you have the grim.,121,3
parvati,"the grim. not the grin, you idiot.",122,3
lavender,"'the grim...' all turn, see lavender bent over her textbook.",123,3
environment,the trio emerge from the bridge and make their way toward hagrid's hut. the whomping willow looms in the distance.,124,3
ron,ancient runes? exactly how many classes are you taking this term?,125,3
ron,hang on. ancient runes is the same time as divination. you'd have to be in two classes at once.,126,3
environment,"students gather around hagrid as harry, ron and hermione arrive. draco, crabbe, and goyle stand with the slytherins.",127,3
environment,"hagrid leads them toward a small paddock just this side of the forbidden forest. in the paddock, a freestanding iron rack hangs with dead ferrets, buzzing with flies. nearby is a pumpkin patch.",128,3
draco,and exactly how do we do that?,129,3
environment,"hagrid looks. belts, rope, spellotape: any means available have been employed to bridle the monster book of monsters, which quiver violently.",130,3
hagrid,"righ' then. so... so... yeh've got yer books, an' now yeh need the magical creatures. right. so... i'll... i'll go an' get 'em. hagrid turns, disappears into the trees. draco shakes his head, speaks loudly to crabbe and goyle.",131,3
harry,"listen, you stupid prat -- eyes widening in fear, malfoy steps back, points.",132,3
hagrid,"gee up, there! (grinning) beau'iful, isn' he?",133,3
environment,"there seems no consensus on this, but the students stare in wary wonder nonetheless. as hagrid coaxes the beast to the center of the paddock, ron stares uneasily.",134,3
hagrid,"a hippogriff, o' course. now, firs' thing yeh gotta know is they're proud. easily offended, hippogriffs are. don't never insult one, 'cause it migh' be the las' thing yeh do. right then -- who wants ter come an' say hello? the entire class steps back, leaving harry in front.",135,3
hagrid,"tha's it. easy now... stop! this here's buckbeak, harry. yeh want ter let 'im make the firs' move. it's polite, see? jus' take step forward, give 'im a bow, and if buckbeak bows back, yeh're allowed ter touch him. ready? unsure, harry nods anyway. steps forward. and... bows. buckbeak's head cocks, eagle eyes studying harry cannily. harry waits. and waits...",136,3
hagrid,"well done, harry! go on. give 'im a pat. tentatively, harry reaches out, lays his hand on buckbeak's fierce beak. the class claps. harry smiles.",137,3
harry,(smile drooping) excuse me?,138,3
hagrid,"off yeh go! as buckbeak gallops forward, harry slides scarily back, giant wings unfold, huge and powerful, and -- whoosh! -- they soar into the air. rising higher. and higher. and higher. gradually, harry loosens his hold on buckbeak's neck. losing himself in the joy of flying. smiling at the sight of his and buckbeak's shadow racing across the grass below. circling over the whomping willow, past hogwarts castle, and then swooping, with heart-stopping speed, over the black lake, buckbeak's talons tickling the smooth glass of the water, summoning the giant squid to the surface briefly. hagrid whistles then, and buckbeak wheels, beating his way back to the paddock, galloping to a halt. as harry slides off, the class cheers -- all except draco, who narrows his eyes maliciously.",139,3
harry,"brilliant... professor. they both grin, when draco pushes past them roughly, strides toward buckbeak.",140,3
hagrid,"malfoy! no! in a flash, buckbeak's steely talons slash down. malfoy freezes. looks down at the blood blossoming on his robes. shrieks. instantly, harry dashes forward. buckbeak whips around, raises its talons and -- seeing harry -- lowers them. ducks its beak. harry... realizing what he's done... breathes.",141,3
hagrid,calm yerself! yer fine... jus' a scratch... hagrid looks: a deep gash glistens on draco's limp arm.,142,3
hagrid,"no. i'm the teacher. you all... you all just... class dismissed! and with that, hagrid -- looking shaken -- swoops up malfoy, flops him over his shoulder, and lumbers toward the castle.",143,3
pansy,"does it hurt terribly, draco?",144,3
ron,"the little git. he's really laying it on thick, isn't he?",145,3
hermione,yes. but i hear draco's father's furious. i don't think we've heard the end of this...,146,3
ron,who? but the photograph on the prophet's front page provides a chilling answer: sirius black. hermione reads over the shoulders of others. whispers half to herself:,147,3
neville,"you don't think he'd come to hogwarts, do you?",148,3
lavendar,"dementors? he's already slipped by them once, hasn't he? who's to say he can't do it again?",149,3
environment,"as a flicker of fear passes through harry's face, bem, a nigerian boy, stares grimly at the grainy image of black.",150,3
environment,"beautiful flowers gleam in the dawn light, then, slowly begin to wither. the dew freezes, the grass grows brittle. seconds later, the dementors sweep by.",151,3
professor lupin,"intriguing, yes? would anyone like to venture a guess as to what's inside?",152,3
professor lupin,"very good, mr. finnigan. can anyone tell us what a boggart looks like?",153,3
ron,when'd she get here?,154,3
professor lupin,"terrifying, yes. luckily, a very simple charm exists to repel a boggart. let's practice it now, shall we? without wands, please... riddikulus!",155,3
draco,(muttering softly) it's this class that's ridiculous.,156,3
professor lupin,what would you say is the thing that frightens you most?,157,3
professor lupin,"didn't catch that, neville, sorry.",158,3
professor lupin,"hmmm... yes. neville, i believe you live with your grandmother?",159,3
professor lupin,"it won't. but i want you to picture her clothes, only her clothes, very clearly in your mind. can you do that?",160,3
professor lupin,"that's fine. we don't need to hear it. if you see it, we will. now, when i open this wardrobe, neville, here's what i want you to do... lupin leans close to neville, whispers. neville's eyes pop open in shock. consider lupin uncertainly.",161,3
professor lupin,"right then. wand at the ready. one. two. three! sparks jet from lupin's wand, strike the doorknob, and the wardrobe bursts open. instantly, snape appears, eyes flashing hideously as he stalks forward. neville backs away in fright.",162,3
neville,"r-r-riddikulus! crack! snape stumbles in a flash of light and reappears... in a long, lace-trimmed dress, towering moth-eaten hat, and crimson handbag. instantly, the class roars (except for draco and his fellow slytherins). neville blinks, amazed, then slowly, grins himself. lupin drops the needle on an old gramaphone. as a scratchy rhumba fills the room, he points to ron.",163,3
ron,"riddikulus! crack! roller skates materialize on the spider's hairy feet and it begins to shuffle crazily in place. instantly, ron relaxes as the class' laughter rings out.",164,3
parvati,"riddikulus! as the vampire whips its cloak across its eyes, we cut behind... so our pov is of the students. swish! the cloak reopens, the class laughs, and we reverse again... see that the vampire is now dressed like carmen miranda. as it begins to shimmy about -- against its will -- the class starts to clap.",165,3
dean thomas,"riddikulus! the cobra's hooded head bobs back and forth, transforms into a jack-in-the-box. lupin grins and...",166,3
professor lupin,"here! crack! -- the dementor vanishes and a roiling mist appears, which becomes clouds. something glows within the clouds, white, silvery and round...",167,3
professor lupin,"well done, everyone. i think that's enough excitement for today. as the students exit, chattering loudly, only harry, subdued, remains behind. at the doorway, lupin glances back, exchanges a private glance with him. as he exits, the wardrobe gives one last rattle.",168,3
harry,"yes, professor, but i thought if you said i could go -- professor mcgonagall but i don't say so. a parent or guardian must sign, and since i am neither, it would be inappropriate. (a flicker of pity) i'm sorry, potter. but that's my final word. ron and hermione -- watching harry expectantly from across the way -- see him turn, shake his head. their faces fall. harry raises his hand in farewell. watches them go.",169,3
environment,thru thru,170,3
professor lupin,"well, don't feel too bad. i was roundly disappointed the first time i went.",171,3
professor lupin,"no. i was just trying to make you feel better. honeydukes' sweets are the best in the world. their pepper imps are so strong you smoke at the ears. and zonko's joke shop may be dangerous, but you can't beat their stink pellets.",172,3
professor lupin,"yes, that too...",173,3
professor lupin,you'd like to know why i stopped you from facing the boggart. (off harry's surprise) i should think it'd be obvious. i assumed the boggart would take the shape of lord voldemort. harry frowns. lupin studies him curiously.,174,3
harry,"i did think of voldemort first. but then, i remembered that night on the train... and the dementors...",175,3
professor lupin,"well, well. i'm impressed. that suggests that what you fear most of all is... fear. very wise.",176,3
professor lupin,dementors force us to relive the worst memories of our lives. our pain becomes their power.,177,3
professor lupin,"the first time i saw you, harry, i recognized you immediately. not by your scar. by your eyes. they're your mother lily's. (nodding) yes. i knew her. she was there for me at a time when no one else was. we used to talk for hours. she was not only a singularly gifted witch but an uncommonly kind woman. she had a way of seeing the beauty in whoever she met, even -- and perhaps most especially -- when that person couldn't see it in themselves... lupin's eyes glaze in memory, then he blinks, smiles.",178,3
professor lupin,"i could tell you stories -- and there are many about your parents, harry -- but know this... (eyeing harry intensely) they lived. every moment of every day. you should know that. that's how they'd want to be remembered.",179,3
hermione,"and the post office! it's about 200 owls, all sitting on color- coded shelves, depending on how fast you want your letter to go!",180,3
hermione,"but, i mean, after awhile, it got a bit boring. don't you think, ron?",181,3
ron,"if there's someone untrustworthy around, it's meant to light up and spin. mind you, fred and george say it's rubbish, sold for wizard tourists, but i thought, you know, it can't hurt, given that...",182,3
harry,"i'm glad you had a good time. really. and thanks for this. (eyeing the sneakoscope) rubbish or not, you're right. it can't hurt. with that, harry pops a pepper imp into his mouth.",183,3
ron,never mind.,184,3
environment,"as harry, ron, and hermione climb the stairs, they find a crowd gathering on the seventh floor landing.",185,3
percy,"(pushing past) let me through, please. excuse me, thank you, i'm head boy... (stopping dead) back! all of you! no one is to enter this dormitory until it has been fully searched! harry, ron, and hermione exchange dark glances, when... ginny emerges from the crowd, her face ashen.",186,3
ron,probably stuffing her face with the apples in that still life on the second floor again.,187,3
dumbledore,mr. filch. round up the ghosts. tell them to search every painting in the castle for the fat lady.,188,3
environment,"just then, there is a scream. the students dash to the landing, where all the paintings whisper fearfully. filch's rheumy eyes peer up, searching the upper shadows, then... narrow.",189,3
dumbledore,dear lady. who did this to you?,190,3
dumbledore,"secure the castle, mr. filch. the rest of you... to the great hall.",191,3
environment,"camera drifts through the silent room, over an ocean of sleeping bags, finds harry lying awake, staring at the net of stars glimmering beyond the highest window.",192,3
environment,"a gentle creak is heard and harry's eyes shift, see snape pass through the great doors, converge with dumbledore.",193,3
dumbledore,(nodding) i didn't really expect him to linger.,194,3
snape,"you may recall, prior to the start of term, i did express my concerns when you appointed professor --",195,3
dumbledore,"no... i feel quite confident the castle is safe. and i'm more than willing to let the students return to their houses. but tomorrow. for now, let them sleep... as dumbledore's gaze finds harry, he shuts his eyes, feigns sleep.",196,3
environment,the whomping willow idly casts off a few withering leaves.,197,3
environment,"the fat lady has been replaced by a painting of a tiny knight (sir cadogan). stalking a bare stretch of grass as his pony grazes nearby, he brandishes his sword wildly as a group of gryffindors regard him warily.",198,3
seamus,he's barking mad!,199,3
neville,"but he keeps changing the password. twice just this morning! i've taken to keeping a list. as neville holds up a wrinkled piece of parchment, harry, ron and hermione begin to exit.",200,3
ron,"yeah, we'll call you... if we ever need someone mental.",201,3
environment,"snap! snape pulls down a screen over the blackboard, turns.",202,3
harry,"excuse me, sir, but... where's professor lupin?",203,3
ron,werewolves?,204,3
snape,quiet!,205,3
snape,"now. which of you can tell me the difference between an animagus and a werewolf? as the class stares mutely at a slide of an attacking werewolf, hermione waiting desperately for someone to respond to snape's question, the moth flutters by harry.",206,3
environment,swat! he pins it to his desk. a tiny cloud of moth dust mushrooms into the air and harry lifts his palm. malfoy's parchment has reappeared.,207,3
hermione,"please, sir, an animagus is a wizard who elects to turn into an animal. a werewolf has no choice in the matter. furthermore, the werewolf actively hunts humans and responds only to the call of its own kind -- malfoy lets out a low howl.",208,3
ron,"(to harry) he's got a point, you know. harry stares at the parchment. malfoy has drawn a crude caricature of harry in his quidditch robes being struck by lightning over and over.",209,3
snape,"not exactly picasso, are you? i hope you demonstrate more talent on the quidditch pitch this weekend then you do as an artist.",210,3
environment,"if not, i fear you'll perish, given the weather forecast. until that time, however, you'll forgive me if i don't let you off homework. should you die, i assure you... you need not hand it in. as snape turns away, malfoy sniggers with crabbe, coyle and pike. harry glances down at the drawing once more and we hear a true rumble of thunder and --",211,3
intercut harry's pov,"-- as he flies, rain falling like needles before him, every dark cloud concealing potential danger. beaters crisscross his path. a bludger whizzes past, then a second rockets directly at him. swoop! -- harry ducks, watches the bludger shatter the broom of a hufflepuff beater. the beater goes into a wild spiral, vanishes in the mist.",212,3
harry,faster! come on! the trace of a smile forms on harry's lips as he closes on the snitch... only yards away... reaching out... when...,213,3
environment,"... a thin glaze of ice clouds his glasses. he wipes at them, then flinches: blood trickles down his cheek. the rain is turning to needles. needles of ice. harry glances at the handle of his broomstick. the water sluicing through the grain is freezing. vapor streams from his mouth and nose. swoosh! a dark silhouette passes on his right. he turns. swoosh! -- a twin silhouette passes on his left. harry sees neither. looks down. the layers of mist are parting below. lightning strikes. reveals: an army of silhouettes drifting onto the pitch. a vast legion of them...",214,3
hermione,"no!!! harry and broom tumble in opposite directions. the nimbus soars end over end, tossed by the currents, then drops... right into the whomping willow. floomph! harry, in freefall, drops through one cloud, then another. plummeting through the circling dementors. then... a tall figure rises from the crowd. raises an open hand to the heavens. eyes angry but clear. dumbledore. an explosion -- more powerful than thunder -- rocks the air. a flash -- more fierce than lightning -- shocks the sky. and then...",215,3
ron,"looks a bit peaky, doesn't he?",216,3
george,"yeah, c'mon, ron. we'll walk you off the astronomy tower and see how you come out looking.",217,3
hermione,harry! how're you feeling?,218,3
harry,brilliant.,219,3
harry,what happened?,220,3
harry,really? i meant the match. who won? silence. uncomfortable glances.,221,3
ron,"there's something else you should know, harry. your nimbus -- when it blew away? -- it sort of landed in the whomping willow. and well... he tips a bag of splintered wood and twisted twigs onto the bed. as harry stares, we hear a gentle wind, then...",222,3
environment,"harry shakes his head in response to lupin's question, then -- whoosh! -- sets hedwig free of her traces. as she soars into the sky, harry and lupin watch from the lake's edge.",223,3
professor lupin,"dementors are among the foulest creatures that walk this earth. they feed on every good feeling, every happy memory, until a person is left with nothing but his worst experiences. you're not weak, harry. the dementors affect you most, because there are true horrors in your past. horrors your classmates can scarcely imagine. you have nothing to be ashamed of.",224,3
professor lupin,i'd consider you a fool if you weren't.,225,3
professor lupin,there was only one that night...,226,3
professor lupin,"(a beat) i don't pretend to be an expert, harry. but yes, i can teach you. perhaps after the holiday. for now, though, i need to rest. i'm feeling... tired. harry turns, studies lupin's haggard face. a weary smile appears as hedwig's reflection glides over lupin's irises.",227,3
environment,"... to hogwarts castle, weeks later, dusted in white.",228,3
harry's pov,a ragged line of students follows mcgonagall toward the bridge. harry's pov becomes objective and...,229,3
fred,"clever, harry.",230,3
fred,"besides, we've got a better way.",231,3
harry,what's this rubbish?,232,3
george,"it's a wrench giving it to you, believe me.",233,3
george,"i solemnly swear that i am up to no good. george touches his wand to the parchment and intricate ink lines surface in the fiber of the paper, spread like veins. harry reads the curious words at the top:",234,3
george,"ah... moony, wormtail, padfoot and prongs. we owe them so much.",235,3
fred,dumbledore.,236,3
fred,pacing.,237,3
harry,"you mean, this map shows...",238,3
harry,everyone?,239,3
fred,where they are.,240,3
fred,every minute.,241,3
harry,brilliant! where'd you get it?,242,3
fred,this one.,243,3
george,this one.,243,3
harry,the one-eyed...,245,3
environment,"harry approaches a statue of a hump-backed, one-eyed",246,3
harry,"dissendium? click! the witch's eye opens and the statue pivots, revealing a dark opening in the floor. as harry crouches, squinting, a cool draft of air ruffles his hair and the camera drifts into the darkness...",247,3
environment,"harry stops, cranes his neck. stone steps. taps the map.",248,3
environment,"a box of jelly slugs as well, horace. we're nearly cleared out. horace grunts, begins moving boxes. harry looks up to the cellar door, takes out the invisibility cloak...",249,3
