,emotion,text
384,joy,"On a boat trip to Denmark, 14 of us had a lot of fun and we  
spent SEK 10 each on one armed bandits and against all odds we  
won the jackpot of SEK 1000."
391,joy,"When I was at the end-of-term party last week and had fun - was  
happy and sang and drank only soft drinks.  It is possible to  
have a good time without alcohol."
398,joy,When I felt that my love was returned.
405,joy,"When I recently got a very positive answer from a clinic telling  
me that they would willingly assist and collect data for me for a  
clinical pilot study."
412,joy,"When I began dansing, the teacher came and told me that I was  
very good and would soon get into the ballet academy. "
419,joy,When my 6 month old son is happy and well.
426,joy,When I gave birth to a healthy boy.
433,joy,"When my husband and I decided to take a few days holiday after a  
particularly trying period."
440,joy,"When I gave birth to a child and saw that it was normal when it  
was put against my breast."
447,joy,The high school entrance exam.
454,joy,"Yesterday, when the final whistle blew at the final match between  
OIS and IFK and it was certain that OIS had won the Swedish  
title."
461,joy,"When I dived among sharks and the brightly coloured fish on the  
outer reef of Tvavni, Fidgi."
468,joy,"When I passed the driving test three weeks ago and got my  
licence."
470,joy,When I met friends I had not seen for the last 2-4 years.
473,joy,"I feel unbelievably happy about the relationship between my  
boyfriend and me, it is a reoccurring feeling."
478,joy,I was very happy when I got an attractive Summer job.
479,joy,The birth of my child.
486,joy,"During the Christmas holidays, I met some of my old friends,  
after not having seen them for six months."
493,joy,"In the underground's escalator, a youngish bum asked me for  
money.  Although I did not give him anything, the fellow told me  
that I was really good-looking.  A man who was in front of me  
also turned to look at me."
507,joy,"A person with whom I had been on bad terms, gave me a present. We  
became reconciled."
514,joy,"After having considered it for hours I was able to overcome my  
scruples and to call a friend with whom I had fallen in love. I  
realized that my decision was right - and was very glad."
521,joy,In summer when I was sailing with friends in Greece I felt joy.
524,joy,"Walking along the beach with a friend (another girl), talking,  
picking up shells, laughing, chasing seagulls."
531,joy,On meeting an old friend of mine.
538,joy,"When I realised that I was forgiven by the God who is there, when  
I realised how much God loves me and that my acceptance with him  
is not based on my performance - that he loves me unconditionally  
and showed that love in Christ who died because I do need  
forgiveness."
551,joy,"I received a wedding invitation from an ex-flatmate, enclosed was  
a small note that overcame a lot of the differences that had  
arisen between us due to the circumstances in which she left the  
flat."
561,joy,When I called my boyfriend he asked me if I would live with him.
565,joy,When my love for a guy was returned.
570,joy,"I met my present boyfriend on a boat trip to England.  We had  
said that we would call each other when we got back to Sweden (we  
were not going to the same town in England).  As soon as I walked  
in he called from England as he could not wait till he came  
home."
576,joy,When I fell in love.
582,joy,"When I was accepted as a student of Psychology here at  
Gutttenburg."
586,joy,I made dinner for some friends and they appreciated it very much.
591,joy,After intercourse.
597,joy,"When I was notified that I had been accepted as a Psychology  
student."
604,joy,"After I had made my debut at Ullevi against IFK, Gottenburg and  
got a good write up in the paper."
608,joy,"As an evening class teacher I got positive feedback.  When the  
atmosphere is good and a kind of relaxed understanding exists."
614,joy,"When I was accepted as supervisor for a student teacher.  The  
notification came by post."
618,joy,"When a close friend met me at the station in the middle of the  
night, when I came back from a long and tiring journey."
625,joy,"When I was able to buy my new car, after lots of problems."
631,joy,When I was admitted to a certain school as a student.
638,joy,"When my father managed to begin a ""new life"" after the divorce  
from my mother; resulting in a new little sister for me."
644,joy,"I was in hospital, and then was visited by someone quite  
unexpected."
651,joy,"When I finally managed to get a specific sound from my guitar,  
after baving tried for a long time."
658,joy,When my children were born.
665,joy,"When my special friend said ""I love you"" for the first time."
672,joy,When my term paper was evaluated.
678,joy,Got in touch with earlier friends after a long absence.
685,joy,"Receiving a much wanted letter from a very good friend who lives  
abroad."
692,joy,"A friend which I hadn't seen for years, sent me a small present."
699,joy,"When my fiancee travelled 2000 Km to visit me, and I hadn't seen  
her for 4 months."
706,joy,"When the person that I was very fond of, returned to me."
713,joy,"A close acquaintace cried for me. I felt happy because somebody  
cared."
720,joy,Renewed contact with an earlier friend.
727,joy,"Receiving a postcard form my sweetheart who was abroad on  
vacation, not being at all sure if he would write me or not."
731,joy,Finding my glasses again after having lost them in town.
738,joy,I got a job right after school was over.
745,joy,"Having passed the exam required to be an authorized Radio/TV  
dealer."
752,joy,Succeeding in helping others.
759,joy,"I received the message that I'd been accepted at the school where I  
really wanted to go."
766,joy,Winning the local soccer championships this year was a great joy.
773,joy,Getting the top price in the football pools.
780,joy,"Receiving close friends form abroad, whom I hadn't seen for  
years."
787,joy,Selling my used car.
794,joy,Managed to run 30 Km on skis fairly simply.
801,joy,Reunion with my wife after a legal separation.
808,joy,Relating to my closest family.
815,joy,When the contract about my shop was signed.
822,joy,"Receiving a letter form a girl that means a lot to me  
emotionally."
829,joy,I won the country ski championship.
836,joy,"When the bank let me borrow some money this winter, after my  
grant was spent."
843,joy,"I am a school teacher. At a teacher-parent meeting I received a  
good deal of positive feed-back on my work both from the parents  
and through them from the pupils."
850,joy,[ A successful lesson.]
857,joy,When in an economic crisis I got an unexpected sum of money.
864,joy,"I was coming home from an exam and I supposed that I had  
passed it so I ran to a restaurant for a beer."
871,joy,While dancing in a restaurant last week.
878,joy,"My girlfriend gave me some feed-back and I understood that it  
meant that our relationship was about to turn even closer."
885,joy,"When I look at people around and know that people who are stupid  
look stupid."
892,joy,[ Being close to another person.]
897,joy,"I went to a doctor with a complaint. The doctor told me that I  
was completely healthy."
904,joy,"When I unexpectedly received birthday greetings from a person I  
like."
911,joy,I shot the decisive goal in an ice-hockey match.
918,joy,"I passed an exam which I was not sure at all to pass.  I rejoyced  
at the result because the possibility of continuing my studies  
depended on it."
925,joy,"On the cliff by the sea, the silence and the sudden voice of a  
bird.(swans of the bay)"
932,joy,"When I got home from my job, I found a letter from the university  
telling me that I had been admitted to begin my studies."
939,joy,"I unexpectedly met a girl with whom I have always got along well.  
( I had not seen her for several months.)"
952,joy,I got a fairly large amount of my taxes back.
959,joy,"A sunny Autumn day, after a long rainy period."
966,joy,I got to know that I had been accepted at university.
973,joy,"My joy was the joy of meeting again.  My husband came home after  
having been away for weeks (for work).  I was on the railway  
station to meet him."
980,joy,"My mother, sister and I were thinking about old times, our  
childhood, and we had a very happy time."
987,joy,"I started a new branch of studies after having failed a former  
one.  When I got back my exam papers I was very happy to know  
that I almost had full marks."
994,joy,My girlfriend sent me a letter with a shiny picture in it.
1001,joy,"When, to my surprise, I got to know about having got ""very good""  
high school graduation marks."
1008,joy,"I am not especially good at English, and after the high school  
graduation exam in English I tensely waited for the result the  
whole day.  In the evening, when I heard that I had done  
excellently, I became very happy and the anxiety vanished.  My  
family was at home."
1015,joy,"When I got an unexpected letter from  a guy, who had been my school  
mate."
1022,joy,"When I got 21/30 points in an exam of statistics. The result was  
unexpected and it made me realize that statistics do not  
surpass my abilities, as I have sometimes thought."
1029,joy,"When my friend told me that he would come and meet me in a  
moment."
1036,joy,"When I felt that an exam, which I had feared, was an easy one and  
went well."
1043,joy,"When I got home from a pleasant trip abroad, I got to know that I  
had been accepted at university."
1050,joy,"When I was pressing figures on the curtain cloth. I had bought  
the cloth after months of hindrances."
1057,joy,"Begining the week-end with my girlfriend : cozyness, beer and  
wine."
1064,joy,"When after an overwhelming anxiety and enquiry, I understood  
something about why I exist and what my task in life is."
1071,joy,"The day I got to know that I would get a shared dwelling with my  
boyfriend.  My parents place was getting a little crowded with  
my growing bother wanting a room to himself.  I first felt doubt,  
then joy, but also sadness.  The feeling of joy was the  
strongest."
1078,joy,[ A chat on the telephone with a friend.]
1085,joy,"I was in a dancing-tavern and the atmosphere was one of waiting  
for the end of the world.  Suddenly people began dancing wildly,  
inspired by the band.  An unbelievable experience : wonderful  
that even Finns sometimes flare up and forget to think ""what  
others are thinking of me"".  It was delightful to dance to one's  
heart content."
1092,joy,"The inflammation of the ear of my child got cured and the doctor  
said that the ear was completely all right."
1099,joy,When a student of mine (at music) performed and played remarkably well.
1106,joy,"When I made up with a girl-friend of mine after having been on  
unfriendly terms with her (my fault).  I cried with joy that  
evening."
1113,joy,"During lectures, I sensed an unexpressed understanding with a boy  
I did not know.  We exchange glances ; I think he likes me, and I  
like him too.  Perhaps he has fallen in love with me ........."
1120,joy,"[ During inter-rail-trip, after troubles, I met my little  
sister.]"
1127,joy,"After having at last finished my master's thesis, I felt great  
joy and relief.  I had been haunted by the thesis during the  
whole of my studies."
1134,joy,When I met a good friend of mine after a long time.
1141,joy,"While having a discussion with a colleague of mine, I realized that her  
conception of man and work were similar to mine."
1148,joy,"I had just moved to the town where I study and I got a postcard  
from a good friend (from my home town)."
1155,joy,"I got a letter from my best friend, whom I had not heard from for  
a long time (a good letter)."
1162,joy,When I got a letter from home.
1169,joy,I found myself a place after looking for one for a long time.
1176,joy,"I went to see the entrance examination results at university.  I  
rejoyced at my success."
1183,joy,A good report card (a scholarship) in primary school.
1190,joy,When I made the acquaintance of a certain person.
1197,joy,"When I went to a job interview, I met a person who was very nice,  
and his attitude made me glad."
1200,joy,"I was in a restaurant with my boyfriend when I saw my best female  
friend after not seeing her for two weeks.  We rejoyced, hugged  
and had a long talk."
1207,joy,When I was sick my husband bought me a piece of cake.
1213,joy,"When my red-cheeked, content child runs to meet me in the yard of  
the kindergarten and gives me a moist kiss on my cheek."
1220,joy,"After my vacations, one day after a lecture it occured to me to  
buy a rose for my mother.  We went together to a pub and my  
mother told me that she would be getting married next Spring.  I  
did not known about it and so was all the more glad."
1227,joy,"I had been away from home for a long time and when I came home I  
was delighted.  It was wonderful to see familiar, dear people and  
I was rejoycing in advance.  I had been feeling very lonely."
1234,joy,"When, after a long time, I saw a girl with whom I was in love."
1241,joy,"While watching an entertainment program in which there was a clever   
and amusing sketch."
1248,joy,"In the army, my result at the shooting exercises got  
me a three day furlough."
1255,joy,"When my favourite football team made a goal and was about to  
win the Cup of England."
1262,joy,When I was in the sauna bath.
1269,joy,I passed an exam which I thought I had failed.
1281,joy,"After one year of searching, my friend and I have found a flat we  
are able to pay for."
1288,joy,"I won a car in a prize-competition. The moment I was informed  
about it, I felt joy."
1295,joy,"In order to be admitted to my final examination, I had to pass  
two examinations. As I had not studied very much, I resigned  
myself to be left behind. Nevertheless I succeeded in these  
examinations."
1302,joy,My boyfriend returned after a long absence.
1314,joy,"When I met a good friend after a long time. We had had a quarrel  
but after two weeks I was really glad to see him again."
1321,joy,"My father stayed abroad for one year. He does not like to write  
letters because he makes ortographic mistakes. I never had a good  
relation to him. He wrote me a letter in which he said that he  
loved me."
1328,joy,When I met my girlfriend - I had not counted on that.
1335,joy,"In Southern Tyrol, I was gathering apples, it was a fine day, I  
was not thinking about anything, I felt an overwhelming joy."
1342,joy,A friend I had missed very much came to see me unexpectedly.
1349,joy,"When I worked as an ""au-pair-girl"" in London, I received a call  
from a good friend who told me that she was in London too and  
wanted to see me. I was very glad - after that call and  
especially when I saw her."
1356,joy,"I had the unexpected possibility to see a friend I like very  
much."
1363,joy,"After a one year's stay abroad, I returned home. I was even more  
glad to see how much my family was pleased to see me."
1370,joy,"On our way to France, my girlfriend and I went to Verona. By  
chance we met an Italian couple - they gave us two tickets for  
the dress-rehearsal of ""Aida"". It was a different world for us  
full of fascination. After the representation we ate a phantastic  
pizza in a restaurant near the ""Arena""."
1377,joy,"When I was informed that a short story I had written had been  
accepted for publication."
1384,joy,After 3 weeks I saw my girlfriend again.
1391,joy,"I went shopping with my parents - my father payed everything for  
me, I was very glad."
1398,joy,"At a choral concert I appeared as a solist. The concert5 was very  
good, I forgot all the hard work that had been done before. There  
remained only an undescribable joy and a feeling of warmth,  
security etc."
1405,joy,"When my brother came back home after staying in hospital. He had  
undergone an operation which had been a matter of life or death.  
When he came home I could see him smile for the first time after  
may weeks."
1412,joy,"One day I did not feel very well and I wanted to talk to  
somebody. A friend invited me for dinner and I was very glad."
1419,joy,"A friend of mine often had difficulties with her parents. Once  
she had a child she had a better relationship with them."
1426,joy,"I received a letter and a Christmas present from a person I had  
not seen for two years."
1433,joy,"I have a boyfriend and I am very fond of him. When we had our  
""11-months jubilee"", I had forgotten it. But he gave me a red  
rose."
1440,joy,"After a weekend at a seminar I saw my husband again. I hurried  
home hoping he would be there. We embraced - I enjoyed feeling  
his body."
1447,joy,A party with friends on New Year's Eve.
1456,joy,"I went to buy a bicycle with my father. When I wanted to pay, my  
father took his purse and payed."
1463,joy,"Before Christmas I got to know a girl but our relationshop could  
not consolidate before the holiday. Therefore it was a big  
surprise to get a carefully hand-made present from her. - Our  
relationship grew closer."
1470,joy,"A person whom I had not seen for a long time called me and  
invited me for a party."
1475,joy,"When my mother was tremendous on the phone and we talked for  
hours. She was in a good mood."
1482,joy,When planning to marry.
1489,joy,"When Wayne and Sue (close friends) were announced our guardians  
at ther wedding."
1496,joy,Getting a part-time job.
1503,joy,"When my last year's second semester results came through - I was  
ecstatic."
1511,joy,"When I get something that seemed very hard like getting a job, a  
boyfriend, etc. A specific sutuations, was when I started to date  
a boy whom I liked for a long time."
1523,joy,"When I succeed in writing something I felt and doing it I felt  
well and very happy for being able to express to myself something  
that was suffocating me."
1531,joy,"After my final examination at school I was glad that the  
examination was over and that I had passed it."
1538,joy,"For about one year I had a rather bad relation with my father.  
Last Christmas Eve he invited me to stay withhim and I was very  
glad about it. It was a fine evening."
1545,joy,"I had a little cat which was very sick. As I liked it very much I  
went to a veterinary with it. He told me how to tend it and it  
really recovered its health. Everybody said that I had saved its  
life."
1552,joy,When I passed my final examination at school.
1559,joy,"When I met my girlfriend again in another town after a long  
separation."
1566,joy,"On my birthday, an old friend of mine sent me a card. I had not  
met him for a year and I was very glad that he had thought of me."
1573,joy,"A very good friend of mine had been away for three months. When  
we met again, we ran up to each other and embraced."
1580,joy,"Several days after my final examination at school, I was sitting  
in an airplane on my way to Greece. I enjoyed that moment very  
much."
1587,joy,"My neighbour was not able to set his car in motion because it had  
snowed heavily. I helped him - he was thankful and invited me."
1594,joy,"On my birthday I got a present that I had desired for a long  
time."
1600,joy,"On New Year's Eve I went in a disco with friends. I amused myself  
and got to know many other people."
1607,joy,"I had a singing-lesson, but I was not very good. The last  
exercise was singing scales. I did that very well and my teacher  
seemed satisfied."
1614,joy,"On my 18th birthday I passed the driving-test. I was glad because  
I had had to study very much, because I had been lucky and  
because - as a proof that it was really difficult - not everybody  
had passed the test."
1621,joy,"During my first week in Graz I met a girl who I had got to know  
in the train from Amsterdam to Graz. Although I had considered  
her very sympathetic, we had seperated without changing our  
adresses."
1628,joy,"I had not studied very much for my final examination at school,  
so I had to take an additional examination in French. The oral  
examination was not very hard for me - the more I was glad when I  
heard that I had passed it."
1635,joy,"My boy-friend told me that he would take me to the training of  
the life-saving dogs."
1642,joy,"To be able to prepare myself better for an important examination,  
I did not spend the nitht with my girl-friend but in the  
students' hostel. I had not done that for months. The day when I  
had the examn, somebody knocked at my door at seven o'clock in  
the morning. My girl-friend who likes sleeping late, had come to  
be able to be with me."
1649,joy,After a long time I saw my boyfriend again.
1656,joy,"I thought that I had failed an examination, but when I was  
informed about the mark, I saw that I had passed it."
1663,joy,"When I had a psychical crisis, I met a girl, who told me that she  
had had almost the same problems and how she had finally overcome  
them."
1670,joy,"Unexpectedly I met some persons who I like very much.  
Spontaneously they invited me and integrated me within their  
group, although it was late in the evening."
1677,joy,"I had a quarrel with my fiancT. When he admitted his fault,  
everything was allright. It was then for the first time that he  
surprised me with coffee and cake and a bunch of flowers."
1684,joy,"My sister had a daughter. I saw the baby for the first time  
through a pane of glass and she looked at me."
1691,joy,"When I was 17, I had a mystic vision. I melted into a dazzling  
light, which omitted perfect love. The physical experience became  
unimportant, I heard or saw the words ""overcome egotism"". The  
feeling of joy remained for month after that experience."
1698,joy,"When I was in a situation which seemed hopeless for me, I moved  
back to my parents. For my father it went without saying anything  
(normally he ofter grumbles at me)."
1705,joy,"When I heard that I had passed my final examination at school  
(with success)."
1712,joy,"Last year I went to see friends in Yugoslavia - two girls with  
whom I get along very well."
1719,joy,When we got a young dog.
1726,joy,"When I heard that a good friend, who had been abroad for a long  
time, would come and see me."
1733,joy,I unexpectedly got a present from my father.
1740,joy,"I met again a very good friend whom I had not seen for a long  
time."
1747,joy,"My friend came to see me after she had stayed abroad. I waited at  
the station."
1754,joy,"I bought a Christmas present for my girl-friend. On my way home I  
was really glad about having found such a suitable thing."
1761,joy,"I went to fetch my girl-friend at the station. When the train  
arrived and I saw her descending and running up to me, I felt  
glad."
1768,joy,"On my birthday a friend came to see me unexpectedly and brought  
me flowers. I usually do not see her very often."
1774,joy,"After I had been away for a long time a friend told me that I had  
passed all my written examinations."
1781,joy,"After I had had a disappointment in my private life, my friend,  
who studies in Vienna, came to see me spontaneously."
1788,joy,Seeing relations from overseas after a few years.
1795,joy,Emotional reassurances by spouse.
1802,joy,A night spent with a group of friends.
1809,joy,Getting a phone call from a very old friend.
1815,joy,"The more than satisfactory result of a recently-completed  
university subject was communicated to me by phone."
1822,joy,"On my birthday, when a very close friend sent me a huge bouquet  
of flowers."
1829,joy,"One of my friends and I had breakfast in a restaurant. It was  
spontaneous and lots of fun."
1836,joy,"I noticed that Meryl Streep and I had similar cheekbones and jaw  
structure."
1843,joy,"When I was complimented and called ""delightful""."
1850,joy,"My current lover and I had been very busy with work and study and  
had not had time alone together for almost a month until one  
afternoon recently when we made love for hours and then showered  
and ate together."
1857,joy,Blank.
1864,joy,"When my boyfriend last told me he loved me after I gave him an  
impulsive kiss."
1871,joy,"When I thought that my high school love and I had a mutual  
emotion."
1878,joy,I'd just got the top mark in an exam.
1885,joy,"On a sailing boat at night, under a full moon, listening to Pink  
Floyd, drinking good wine, with good company, the boat being  
steered by autopilot, and a full eclipse of the moon."
1892,joy,Family member survived an operation.
1899,joy,A close married friend has just had his first child.
1906,joy,Having received an offer to do post-graduate work.
1913,joy,"Winning a tight tennis match. One set to play, and the team was  
behind by 3 games. We won the last set 6-2 and won the match by a  
game."
1920,joy,"Arriving in New Zealand as a teenager - first overseas trip -  
something ""exhilarating"" about the change of scenery etc."
1927,joy,"Going to a friend's wedding and seeing many of my old friends  
whom I had known before I moved to a new district five years  
previously."
1934,joy,"After being away on a holiday for 2 months, a friend, who lived  
interstate, had remembered when I'd get back and phoned to  
welcome me home on the night of my arrival."
1941,joy,"I was captain of the school swimming team. The team was only two  
points in front before the last relay. We won the relay, which I  
swam in, and thus my team won the championship."
1948,joy,"When I won the ""Under 18"" Showjumping at the Brookfield Show. The  
competition was very stiff and there were many riders competing."
1955,joy,"Day I received my T.E. score and acceptance into my chosen course.  
"
1962,joy,"Eating biscuits and drinking Milo (Chocolate energy drink made  
with milk and usually drunk warm) with my friend at College. We  
get on really well, don't withold any feelings about each other's  
friends and are pretty good at cheering each other up when we are  
homesick."
1969,joy,"Getting a good mark for a subject I had worked hard at but  
expected only a moderate mark."
1976,joy,"I got a good reaction from my tutor and tutorial group for a  
presentation I'd given that I was very worried about."
1983,joy,"When I received the results from my final examination - Higher  
School Certificate - and received a mark that was beyond my  
wildest expectations."
1990,joy,Got through first semester University.
1997,joy,Getting back with my boyfriend after a year away - apart.
2004,joy,"When I opened my TE Score envelope, and saw I got into  
Physiotherapy."
2011,joy,"When my brothers had passed all of their exams and were able to   
graduate from their courses."
2018,joy,"When my present boyfriend asked me initially to go out with him I  
had waited a long time for this to occur."
2027,joy,"When I saw my brother in Church, and publically accept Jesus  
Christ as his saviour and Lord."
2034,joy,"On holidays - just driving along a road beautiful scenery. Just  
with my boyfriend - not really talking but just feeling  
overwhelmed."
2037,joy,Good news about a sick relative.
2044,joy,"When I received my TE Score and my acceptance from University -  
it had been a goal since I left the bank a year earlier."
2051,joy,"Can't remember specific event - besides just being moderately  
happy until a year or so ago."
2061,joy,"When finally I found a place to live, I felt relieved, predicting  
changes in my life, and I became happy."
2068,joy,"I felt it when I received a letter telling that I had been  
classified in a national concourse of p... I felt happy and  
vanity about it."
2075,joy,When I asked my girlfriend to marry me.
2082,joy,When I met a friend that I hadn't seen for some time.
2089,joy,"When I began to date a boy with whom I am till now. This was 16  
months ago."
2095,joy,"When I took my entrance exams successfully and also when I got my  
school leaving certificate because the delivering ceremony was  
extremely official."
2102,joy,When I was admitted to the Sofia University.
2109,joy,I was admitted to the University and a niece was born to me.
2116,joy,My admittance to the University.
2124,joy,Winning Queensland Chess Championship.
2131,joy,"Receiving a very personal letter from a lady that I like, which  
revealed that she was more enthusiastic about me than I had  
thought possible."
2138,joy,Being in love for the first time.
2145,joy,"When I achieved my first 6 at University after a long string of  
3's, 4's and 5's (7 is the highest mark awarded, 3 is a conceded  
pass)."
2152,joy,"When I was a child, my beloved cat gave birth to four beautiful  
little kittens. Before she had them, she came up to me and I  
followed her out, then witnessed them being born."
2159,joy,"The weekend after I argued with my parents I went home again and  
they couldn't have been nicer. As soon as I walked in, Mum kissed  
me, then Dad, and thanked me for the birthday presents I'd left  
for him, including a very sentimental birthday card."
2166,joy,"Joy of giving birth, and of sharing that joy with my husband.  
Moments of complete happiness and feelings of so much love."
2173,joy,"Receiving notification that I had made a successful application  
to the Speech Therapy course at Uni, gave me a very good feelig  
of achievment and joy."
2180,joy,"Seeing a close friend who had just returned from twelve months  
overseas."
2187,joy,"When I finished my exams after 12th Grade, I was worried about  
getting a T.E. Score high enough for Physiotherapy. When I found  
that I had been accepted I was ecstatic, or more appropriately,  
could jump for joy."
2194,joy,"Two years ago, somebody I like very much wanted to give up his  
studies. I tried to make him understand the importance of what he  
was going to do, not only of the difficulty to find a job but also  
because he will decrease his culture etc. This person made the  
test to the college entrance examination and to our great joy we  
found out that he succeded in entering at the University."
2201,joy,When I entered at the University.
2208,joy,"When in the end of a semester I got the approval in a matter that  
I judged very difficult."
2215,joy,"The situation in which I felt happiest in my life was when  
I was with the person I love for the first time."
2222,joy,"When I got through the examination for my driver licence, and  
when I finished I knew I had passed it."
2229,joy,"I was in ILHA GRANDE with a wonderful sun, with wonderful people,  
with a wonderful sea, with a wonderful boy."
2236,joy,"I felt happy when my mother borrowed me the car in order to let  
me go out alone for the first time."
2243,joy,Always when I am well succeded.
2250,joy,"When there was a possibility of getting on better in professional  
life. I valorized very much this aspect. People showed me this  
possibility, not the real fact (even because until now ...)"
2257,joy,When I got a wedding ring of diamond from the boy I loved.
2264,joy,"When I met again a great friend and talked a little while with  
him. When I see again another I miss."
2271,joy,When I entered University.
2278,joy,"When I met a girl and asked her for a date and she agreed, (I  
thought this girl would never like me), this was an emotion of  
joy."
2285,joy,"I felt joy when I red my name in the list of the approved in the  
entrance college examination."
2288,joy,"To have a friend who I didn't see for months, and under the  
circumstances that I met him made me feel happy, and perhaps  
because it has been one of the good things that I learned with  
this friend."
2295,joy,"When, after a long time of searching I got my first job."
2302,joy,When a person that I like very much got near to me.
2309,joy,"I made the college entrance examinations for P.U.C. It was what I  
wanted more. When the first list came out I got frustrated. I  
wasn't in. When the second list came out without hopes I started  
to read the newspaper and my name was thre. I was in the bus and  
felt like crying so that everybody could hear me. The cry was hold,  
and 1982 became forever a mask in my life."
2316,joy,"The day I received the key of my apartment and we could enter in  
it, for my fiancT and I had bought it yet in plans, and it seemed  
to us that this was almost impossible to happen."
2323,joy,"It was when a friend took me to a place and gave me as a gift my  
astrologycal map with the explanations of a psychologist."
2330,joy,"In a day when at work, in school, and relationships came out as I  
wanted, and I was recognized in my work."
2337,joy,"I was travelling in the South of Brasil, near the end of the  
year. I was well settled with 3 friends. At the evening of 31 M.,  
somebody, also with us, took from his purse pints of all colours,  
and the 4 of us, and other friends, that were at the same beach,  
painted each other and we went to the beach with champagne."
2344,joy,"A friend of mine that is abroad undertook recently an axam to  
enter on University in Dallas, and was approved."
2351,joy,When I knew about my first job.
2360,joy,When I got a small present form a person I like very much.
2367,joy,"When I saw my name in the newspaper and I knew that I entered at  
the University."
2373,joy,"I had a friend who I didn't see for a long time. We had a  
relationship from much union and interaction. It was more that  
one year that I didn't see her. She appeared in my home and we  
talked."
2380,joy,When I got a record as a gift from a friend.
