,emotion,text
1158,sadness,"When my grandfather died, I saw my grandmother crying against my  
aunt's shoulder (I had never seen my grandmother cry before)."
1165,sadness,"When I had to move away from home to study, and I knew that I  
would not be coming back home for a long time."
1172,sadness,"The breaking up of a relationship.  We decided that the  
relationship could not carry on, so it was no surprise to me.  
And anyhow, I had known it would happen sooner or later."
1179,sadness,"My best friend had a relatively severe illness.  I was sad  
because she was suffering."
1186,sadness,When my grandmother died of cancer.
1193,sadness,When my grandfather died.
1203,sadness,"My guinea-pig had been ill for a couple of days.  One evening,  
when I came home I enquired as to how it was doing.  My mother's  
expression told me that it had died.  My knees refused to support  
me and I began to weep convulsively."
1210,sadness,"When my sister left to go home, in Sweden, after the Christmas  
Holidays."
1216,sadness,The death of a close relative.
1223,sadness,"The fact that my mother is getting married again (my mother and  
father divorced about 15 years ago) means that she will probably  
move to Turku, and our home, which is a one family house, will be  
sold (I myself have not been living at home for the past six  
years)."
1230,sadness,"I was on a class excursion, by boat to Stockholm.  At night my  
class mates prepared to clebrate their motive in life which was  
""life is merriment"".  I felt depressed about the way they sought  
happiness."
1237,sadness,I was sad when I saw that a beautiful girl was not attainable.
1244,sadness,"I worked for seven months in a factory, and made friends with a  
fellow worker.  Later, I visited my former fellow workers and was  
told that, while in the army, my friend had shot himself."
1251,sadness,"I lead a rather secure life.  The only thing I can remember is a  
song from the nineteenth century which is against alcohol.  Both  
the melody and the word (although naive) effected my emotions."
1258,sadness,"When I heard about the death of Frantois Truffaut, the French motion   
picture director, on the radio.  I had planned to go and see his  
last film."
1265,sadness,"When my car froze, and I could not start it."
1272,sadness,When my grandmother died of cancer.
1277,sadness,"Christmas Eve: there was a tension between my parents, they did  
not even try to restore a harmonic atmosphere. Mother stayed in  
her room almost the whole day. I felt alone and was very sad."
1284,sadness,"When I was six years old, my favourite cat died."
1291,sadness,"I heard that a friend had died in an accident; group situation:  
suddenly a friend came in and said ""Have you already heard  
that...""; there was a terrible consternation, silence, then  
everybody shouted excitedly ""How could that happen...""."
1298,sadness,"A friend of mine, who had repeated a year at school once before,  
did not pass the final examination and had to take it again half  
a year later."
1305,sadness,"A good friend quitted me after he had behaved in a strange  
manner."
1310,sadness,"My favourite horse died. We had tried our best to save him, but  
it was hopeless, he had to be shot."
1317,sadness,My mother's death.
1324,sadness,"During the Christmas holidays, I went to see my parents and  
stayed with them for two weeks. After two or three days, we had  
the same conflicts we had had ten years before when I had lived  
with them. They were glad when I left."
1331,sadness,A person died (not really a friend).
1338,sadness,When my girlfriend told me that she wanted to leave me.
1345,sadness,"After I had lived with my boyfriend in a foreign country for half  
a year, I saw that it was impossible for me to stay with him (for  
economic reasons). We separated although I loved him."
1352,sadness,"When I was eight years old my father was run over by a car. When  
I saw his body I was sad beyond words."
1359,sadness,"In 1977, my grandfather, to whom I had a very close relationship,  
died."
1366,sadness,"When my aunt, whom I had loved very much, died. When I heard  
about her death, I was not as touched as at the funeral. I really  
became conscious of her death at that moment."
1373,sadness,"I had to leave my girlfriend for 4 weeks because of my studies.  
This happens frequently. The last 24 hours before my departure  
are always very depressing."
1380,sadness,Death of my grandmother.
1387,sadness,"When the grandmother of my friend died in a hospital. My friend  
was crying and I was sad, too."
1394,sadness,"When my grandfathers died and I realized how much I would miss  
them."
1401,sadness,"Several years ago my brother died in an accident. When I heard  
about it, I was very sad. It took years until I resigned myself  
to it."
1408,sadness,"I met some nice people during my holdidays. When they left I knew  
that I would never see them again."
1415,sadness,"When my uncle died whom I had loved very much. I was very sad and  
I felt totally helpless."
1422,sadness,"When I was younger I was very good in apparatus gymnastics. I  
always won in competitions, but once I was only at the fourth  
place."
1429,sadness,"My little cat which I had raised all by myself, hanged itself when  
playing in the garden."
1436,sadness,"When I was a child I had a grass-parakeet I liked very much. His  
legs were crippled so that he could not move very fast. Once I  
came into the room, did not notice him and stepped on him. A few  
days later he died."
1443,sadness,"My father died unexpectedly at the age of 53 years. He certainly  
would have liked to live longer. I was also said because I was  
confronted with the fact that I would die one day too."
1450,sadness,"I met again a very good friend after a year and realized that  
there had grown a certain distance between us."
1452,sadness,When my grandmother died - at her funeral.
1459,sadness,My partner left me after we had been together for a long time.
1466,sadness,"When my grandmother died. I had a very deep relation to her (I  
lived with her for several years)."
1473,sadness,When my grandmother died.
1478,sadness,"After having left the company of someone who gave me a lot of  
support and made me laugh, found myself alone for days on end."
1485,sadness,"Recent break-up of seriors long-term relationship, helped along  
by would-be  in-laws."
1492,sadness,When my boyfriend took me to his father's grave.
1499,sadness,"When my grandfather was sick, and died I felt more sad, though,  
when he was sick."
1506,sadness,"My grandfather died. He lived almost as a recluse not caring for  
himself as well as he should - Dad and we all helped as much as  
we could, but it didn't save him from himself. It was an  
unexpected death. His second de facto wife was lucky she wasn't  
jailed."
1507,sadness,"In my penultimate job I was responsible of a sections with  
several employers, after several years of dedication I was  
dismissed by a new chef, saying that I was incompetent."
1514,sadness,"I felt very sad when I had to give up something that by right was  
mine and although I didn't get it, a kind of suvenir that people  
don't give you the right to have."
1519,sadness,The loss of the woman who loved me most till today.
1526,sadness,"When I heard about the death of somebody I liked very much and I  
was not present either to see the person or to try to share my  
emotions with other friends."
1534,sadness,"When my grandfather died. When I heard about his death, I had a  
bad feeling in my stomach and I felt as if I had lost something  
very precious."
1541,sadness,"Several years ago my mother died. She had been ill for a long  
time, but nevertheless her death came unexpectedly. I did not and  
I still do not want to believe that it is true."
1548,sadness,"A friend told me about his cousin who is my girlfriend. He said  
she had treated him in a mean and nasty way. I was surprised  
because in front of other people she had always treated him in a  
friendly way. I am very sad about it."
1555,sadness,"When my grandmother died; I had a stronger relation to her than  
to my mother."
1562,sadness,When my grandparents moved to another part of the town.
1569,sadness,"My friend was pregnant, but lost her child during the second  
month. I went to see her at hospital - she was crying. I felt  
very sorry for her."
1576,sadness,"When my uncle died I saw a funeral for the first time. All people  
stood around the open grave and cried."
1583,sadness,"Our dog had to be shot because he had killed a roe. I liked him  
very much and so I could not resign myself to that. I hated the  
hunter who shot him."
1590,sadness,"My cut was run over by a car. After searching for a long time I  
found her lying in a kerb. I was rather shocked and angry with  
the driver."
1596,sadness,"When we were on holidays my girl-friend had to leave me after 4  
weeks and I had to stay in Turkey for some more weeks because I  
had a job there."
1603,sadness,"My sister, whom I like very much, asked me for a favour which I  
refused her for some flimsy reason. Some time later I felt sorry  
for that and something like sadness."
1610,sadness,"Years ago on Christmas Eve I felt very sad because I realized for  
the first time how I missed my father who had died at Christmas  
Years ago."
1617,sadness,"I had cared for a horse for 2 years. One day it was sold and I  
cried for several days because I was so sad."
1624,sadness,"I was at home alone when I realized that a young roe approached  
our house. I hid because I did not want to frighten it. It  
limped. Some time later, when I thought that it had already run  
away, I saw it lying on our terrace. I came nearer and saw that  
it was terribly wounded. I informed the ranger who said that the  
roe must have been attacked by dogs. He had to shoot it."
1631,sadness,"I arranged with a friend to go skating the next day. He asked me  
to wake him up by telephone at twelve o'clock because we had come  
home late in the morning. Next day I called him - he was not at  
home. As something like that had happened to me several times  
before, I came to the conclusion that one cannot rely on anybody  
and I felt very sad."
1638,sadness,A horse which I had liked very much was taken away.
1645,sadness,"My son's mother told me that she wanted to move to Vienna and  
take the child with her. This means a rather long distance for  
me. My whole family was sad and dumbfounded so that my own  
feelings were intensified."
1652,sadness,"Death of my father, he died of laryngeal cancer."
1659,sadness,My grandfather's funeral.
1666,sadness,"My grandfather was seriously ill, he had only a few days left to  
live. I had always loved him, but never told him. When I saw him  
for the last time, I had the feeling that I had omitted so many  
things I could not do again. - There was a fly sitting on his  
forehead and he was too weak to drive it away. I was very sad  
when I saw that."
1673,sadness,"After some friends had come to see me. They had stayed for  
several days and we had got on very well. When they had left, I  
had a feeling of emptyness."
1680,sadness,"I had to give up my love, because it did not work out well."
1687,sadness,"When I was 9 years old, I got a cat, but after 3 days he died. I  
was very sad, because I had nursed him and taken him to the  
veterinary's - but in vain. Although I had had him only for a  
short time I had liked him very much."
1694,sadness,When my flute-teacher was replaced by a new one.
1701,sadness,Often a dog which is treated very badly by his owner comes to us.
1708,sadness,When my father died.
1715,sadness,A friend who was 22 years old died.
1722,sadness,My dog died of a cerebral tumor.
1729,sadness,When my brother died.
1736,sadness,"A relative, whom I like very much, left for the United States."
1743,sadness,"My dog, whom I had had for eleven years, died. I watched his  
soporification."
1750,sadness,My uncle died - I felt sad at the funeral.
1757,sadness,"During my holiday I met again a friend who had tried to commit  
suicide. She had just left hospital, her lips were trembling, she  
looked miserable."
1764,sadness,A friend died of cancer when he was 18 years old.
1777,sadness,"It was only once that I really felt sad: at my grandfather's  
funeral (after a long time of suffering he had died of cancer)."
1784,sadness,I am sad because some relations to friends are not very good.
1791,sadness,A friend breaking up with her boyfriend.
1798,sadness,Loss of close relative.
1805,sadness,"A girlfriend ended our relationship in an abrupt and unexpected  
manner."
1812,sadness,Death of a parent.
1818,sadness,"While walking through an old mining area, I unwittingly disturbed  
a wallaby which, in its resultant flight, accidentally fell down  
a deep mine shaft. On investigation it seemed uninjured, but it  
was impossible for the wallaby to get out, and also for me to get  
it out of the shaft. To prevent its suffering a slow death, I  
shot it."
1825,sadness,"When I found out that a person I went to school with had died in  
a car accident."
1832,sadness,"Leaving Melbourne to move interstate - leaving relatives and  
friends behind."
1839,sadness,"Girl I was fond of did not initiate conversation as I expected in  
tutorial."
1846,sadness,The death of my twin sister - suicide.
1853,sadness,"I was alone in my parents' house, having made plans to spend the  
afternoon with a lover (plans which the lover cancelled),  
watching a movie and considering my life and circumstances -  
pressures of examinations in particular."
1860,sadness,"Watching ""11 am"". They had a programme on the starving refugees.  
Their plight was a source of sadness for me."
1867,sadness,"Death of paternal grandmother to whom I was very close - died of  
cancer."
1874,sadness,"When I left my sister's house after staying there for a few days.  
She has two little boys, and they are very warm people (the  
family). At the time, I was in need of this sort of contact, and  
I grew very fond of children (no, I'm not a paedophiliac)."
1881,sadness,"My mother died of cancer after a 4 year illness - I think the  
most pregnant moment of sadness was the next morning, just as the  
sun rose."
1888,sadness,"At rejection / being ignored by a loved person held in great  
esteem."
1895,sadness,Death of grandmother.
1902,sadness,"At the funeral of a friend about 20 years old, who was killed in  
a hit-and-run motorcycle accident."
1909,sadness,"The loss of my father as he died of a massive and sudden heart  
attack."
1916,sadness,Death of the family dog.
1923,sadness,"Leaving the house myself and a female friend had shared for 6-8  
months because of the friendship which developed and our approach  
to each other in occasional instances of several personal crises."
1930,sadness,"Looking up end-of-semester results, and finding I'd failed three  
out of seven (subjects)."
1937,sadness,"After training for an Australian championship competition for a  
year and then injuring myself 2 weeks before the competiotion."
1944,sadness,"Shifted from Melbourne to Brisbane. All my old school friends  
gave me a party and I had to say good-bye to them all."
1951,sadness,"I was terribly upset when my kitten got hit by a car. He didn't  
die, but for several weeks we thought he might have to be put  
down."
1958,sadness,"At end of school - function to ""celebrate"" ? Leaving friends who  
I'd known for up to 12 years."
1965,sadness,"A friend of mine is having psychiatric problems because of his  
mother's death ages ago. He is really quiet and because it  
relates back to his childhood I feel sadness for him. He doesn't  
lead a normal life and it just seems unfair."
1972,sadness,My father died last year after an 8-week severe illness.
1979,sadness,Passing away of my father.
1986,sadness,"When I left all my friends at school (break up) knowing we would  
probably all go our separate ways, and none see one another for a  
long time."
1993,sadness,"I broke up with my boyfriend of seven months, but it was a very  
""indepth"" relationship and so after feelings of grief and loss  
were over I felt an immense sadness."
2000,sadness,Thinking about friends overseas.
2007,sadness,"At our Senior dinner - separated from school friends, nothing  
will ever be the same again."
2014,sadness,When my father died.
2021,sadness,"When my father passed away of cancer, I was extremely saddened.  
He was not very old, which made matters worse. The actual death  
was horrendous, but the moving funeral saddened me more so."
2030,sadness,When one of my closest friends died unexpectantly.
2040,sadness,When felt lonely about writing my family.
2047,sadness,The first time I left home.
2054,sadness,Close relative is dying of cancer - found out last week.
2057,sadness,After the fact that made me ashamed I felt sadness.
2064,sadness,To fight with a sister and to know that she doesn't care.
2071,sadness,"I felt it when I was at home and saw a discussion without sense  
between my parents."
2078,sadness,The death of my grandfather.
2085,sadness,When my team lost a championship.
2091,sadness,I got separated from the man I loved.
2098,sadness,When I got separated from the man I loved so much.
2105,sadness,When my friend (girl) went abroad for two years.
2112,sadness,I was alone at home on New Year's Eve.
2119,sadness,Unrealisation of the desired profession (aviator).
2127,sadness,Death of grandfather (unexpected).
2134,sadness,"I left my home in Melbourne to come to Q'land to study and before  
I hopped in the car I hugged my mother and shook hands with my  
father. Sensing immediately my father's sadness, I also had a  
flood of the same emotion."
2141,sadness,As a child - having a dog - it getting a disease and dying.
2148,sadness,"Having to decide on a termination of a pregnancy, after  
discussing it with friends, family and the man involved."
2155,sadness,"Upon moving away from home for the first time to a different  
city, I felt no longer ""under the wing"" of my parents even though  
they would always be there to help me. I felt a sense of loss, I  
was now all alone in the world, responsible for my own actions."
2162,sadness,"A very close friend from Victoria visited me over the holidays.  
Having enjoyed his company immensely over 10 short days, I was  
overwhelmed by sadness when he left to return to Victoria. 
"
2169,sadness,"When my son was diagnosed as having CEREBRAL PALSY, at age 5. He  
would have to endure so much labelling, stigma and discrimination,  
even though his case was relatively mild."
2176,sadness,"My mother left my father for his best friend, and he moved to  
Papua New Guinea. Despite the fact that I am closer to my father  
than to anyone else in my family, I had to move in with my  
mother, and say good-bye to my father, not knowing when I would  
see him again."
2183,sadness,"Leaving home to move closer to University. As an oldest child,  
this experience was traumatic for both my parents and myself."
2190,sadness,"When my family heard that my Mother's cousin who lives in  
England wrote us to tell that he had cancer of the lymph glands."
2197,sadness,"I don't know why suddenly I thought that what I was feeling for  
my boyfriend was not really love. After almost three years being  
together, this matter of fact shaked me and I felt a great sorrow  
that I can call sadness."
2204,sadness,When my grandmother died.
2211,sadness,"Some colleagues decided to go out on a Saturday not inviting me  
to decide either the place nor the time."
2218,sadness,I felt sad when I was despised by another person.
2225,sadness,"I couldn't sleep, and began to remind of my childhood. We are many  
sisters and at that time we were spanked a lot and I don't know  
why I started to remind of the spanks they and I had had, their  
shouts when this happened."
2232,sadness,"When I applied for the college entrance examination to FUVEST,  
and I wasn't approved in the second fase."
2239,sadness,"It happened when I lost two very intimate friends in a car  
accident."
2246,sadness,When I couldn't go for a trip with my friends in a holiday.
2253,sadness,"During an informal talk with a friend when we talk about the life  
of another person, a common friend, that is in a situation of not  
being able to assume certain problems that he decided to solve,  
that is, she herself suggested the problems and decided to solve  
them but didn't get it until the moment."
2260,sadness,"When I became conscious that men don't wnat anything they don't  
have a goal. They have: sex, but this isn't important."
2267,sadness,"When I knew almost the same day about two great friends of mine  
that had serious existential crisis, and mainly when I notice  
that I'm in the same situation that they are, but I didn't  
realize it."
2274,sadness,"When my grandmother, my second mother died."
2281,sadness,To buy a car and didn't like the business and the car.
2291,sadness,"A friend of mine lent me his apartment for holidays and besides  
this he was a fine person. Months later I knew that he died  
tragically in a moto accident. He was very young, and I felt sad  
and couldn't believe it (until today)."
2298,sadness,"When I knew that a person that I liked very much didn't react the  
way I would like to, even that I knew about his feelings for me."
2305,sadness,"When I was betrayed by a friend, and decided to stay apart form  
her."
2312,sadness,"I remember the day my father died. I was 11 years old and my  
sadness was so great that until today I remember everything  
about that day, from the clothes I was wearing to the reactions of people,  
the despair of my mother and brother. It marked me a lot and was  
the greatest sadness I felt."
2319,sadness,"My fiancT's family was adopting a 5 years old boy. I felt  
myself close to him as I never felt before. After some time his  
mother demanded the care of the kid and we were obliged to send  
him back."
2326,sadness,"When I deeply felt that I could lose the person I love best  
because of my foolishness."
2333,sadness,When I try to get closer at a person and she misinterpreted me.
2340,sadness,"The second time I went to the entrance exam to V.S.P. and  
didn't get approved."
2347,sadness,"Last year, when I took the college entrance examinations I  
failed the FUVEST. It was for me the most frustrating situation  
because I had studied all year long, and only thought about this."
2356,sadness,"When I was 10/11 years old my father travelled very much for his  
work (he passed three months away from home)."
