,emotion,text
329,fear,On the way down a ski slope which was difficult and steep.
336,fear,When I was nearly attackad by a man who had been chasing me.
343,fear,Vertigo - standing on a ladder and painting the house.
350,fear,"I was within a hair's breadth of knocking down a drunkard who  
suddenly ran into the street.  The fear came later when I      
realized what could have happened."
357,fear,"I was alone in a cottage I often stay in.  I was woken up by a  
rustling sound in the middle of the night."
364,fear,"When we could not land our plane and we knew that the fuel was  
running out.  Bad weather had already frightened us."
371,fear,"I had the window open and the door was shut so that the kitten  
would not go out.  My partner came in and started talking about  
something and I forgot about the window and suddenly I saw the  
kitten hanging from the window frame. I was rigid with fright  
till I got hold of her."
378,fear,"When my relationship with my family is very poor I often fear  
being excluded from the group, a fear which is stronger in  
situations when an argument is on hand."
385,fear,"A rainy day, I was cycling downhill and a car door suddenly  
opened and while trying to avoid it the back wheels of my bike  
got caught in the tram tracks.  I somersaulted but had no  
injuries."
392,fear,"Last Summer I was walking along the beach in a bikini and an  
awful man came cycling after me.  He was shouting and I ran as  
fast as my legs could carry me."
399,fear,"When I was convinced that someone had broken into my flat and I  
woke up and heard sounds that frightened me."
406,fear,Every time I meet a certain dog that has once bitten me.
413,fear,"A late Saturday night I found myself locked in the central  
underground station of Stockholm with a group of 50 hard rockers  
who were drunk and equipped with various kinds of chains, etc."
420,fear,"A four year girl ran away from her father straight in front of my  
car.  I was forced to use the emergency brakes."
427,fear,"When my husband and I spent a night by ourselves in a house which  
was in an area on the outskirts of a large town with which we were   
not familiar.  We  heard strange noises outside the house and the   
house had glass walls so the whole thing was even more  
frightening."
434,fear,"Before a hospital visit prior to a D&C under anasthesia for an  
expected miscarriage."
441,fear,"During labour when the foetal sounds became faint and there was a  
big alert for a forceps delivery."
448,fear,"A gang of screaming and drunk youths ""captured"" a tram."
455,fear,"I was teaching someone to drive and when we were about to crash I  
was scared."
462,fear,"When I missed crashing, by a hair's breadth, into a man who came  
out 20 metres ahead of me when I was driving at 110km/h."
469,fear,"When the car I was driving skidded on an icy road and landed in    
a ditch with one side against a rock."
471,fear,When a guy chased me when I was out jogging.
474,fear,A reoccurring fear that something will happen to my relatives.
480,fear,"When I have to leave the baby in the carriage and go shopping, I  
fear that something will happen to the baby."
487,fear,"We were driving a car of a friend of mine when we turned in the  
wrong direction towards an unknown district, and nearly drove  
down a precipice."
494,fear,"I was afraid of moving away from home and moving to Helsinki for  
my studies."
500,fear,"At about nine p.m., I went home by bike on a dark cycle-track;  
because of lack of time I had to take the short-cut."
501,fear,"Once I had to go home on foot at 5 a.m. I had to pass through a  
forest and I was going alone."
508,fear,"A friend's father had died, I was to come and see this friend  
although I did not know his family."
515,fear,"After having slept for a short time I woke up - I had the feeling  
of someone standing beside me and was very frightened. I had to  
turn on the light turn on the light for several minutes before I  
was able to get to sleep again."
522,fear,"I was riding with a friend in his car. At a speed of 120 km/h on  
the snow-covered motorway I would have liked to get out."
525,fear,"Climbing a mountain to see a view, towards the top we suddenly  
came across a ledge with a nearly sheer drop on either side,  
which I had to cross."
532,fear,When my brother was very late in arriving home from work.
539,fear,"Fear - paralysing - that I would not be accepted by the God who I  
believed to be there because I was ""morally bankrupt"" (before  
becoming a Christian and realising that that was why Christ came to  
free us from sin and to forgive us)."
545,fear,"I was rock-climbing and absailing & felt OK, but suddenly as I  
was going over the cliff I was hit by fear - I couldn't go on  
absailing down the cliff and had to be actually hauled back up  
it."
552,fear,"One afternoon, helping at home on the property, I was  
(mustering) getting in cattle and a bull turned and came for me."
556,fear,"When I am travelling by car and have to meet an oncoming car  
while overtaking."
562,fear,"Last Summer in Italy I was attacked by a dog.It was terrible to  
feel that untidy dirty dog against my naked skin."
566,fear,"When I think of death - not my own but that of my parents,  
brothers and sisters."
571,fear,When my mother's heart nearly stopped.
577,fear,"Earlier, I was afraid of speaking in front of a crowd of people."
583,fear,"I woke up in the middle of the night as I had jumped and shouted  
with fear.  I thought that someone's cold hand or something  
similar had touched my hand.  I crept down under the covers and  
went back to sleep."
587,fear,I was nearly knocked down while I was cycling.
592,fear,Disappointment over a friend.
598,fear,"Motor failure on a boat outside Gottenburg when we were in heavy   
seas and the wind was strong.  As we could not steer the boat we  
drifted towards the rocks.  We did not succeed in attracting the  
attention of any passerby until 4 hours had elapsed."
605,fear,"When I was 7-8 years old, I woke up one night and found myself  
alone at home.  My mother had gone out to buy cigarattes from a  
machine."
609,fear,"After mischieviously ringing on the chemist's trade-entrance  
doorbell and getting caught by him."
615,fear,"When I was involved in a car accident last November, after the  
first fall of snow.  I lost control of the car and it spun round  
and landed on the opposite side of the road, on the hard  
shoulder.  It was stopped by a pole on top of a bank sloping down  
to a stream."
619,fear,"Having quarreled with a boyfriend, he threatened to leave me."
626,fear,"After my car accident, when I woke up in a heap of stones."
632,fear,"My father has a chronic desease. In the autumn of 1983 he had a  
very strong fit or seizure."
639,fear,"A ""near-accident"" in a car, driving too fast on an icy road."
645,fear,"I was hunting, and was lost in the fog in the mountains."
652,fear,"Climbing a mountain, I got stuck and realized I could get neither  
up nor down."
659,fear,"When I almost ran over a small boy who suddenly was in front of  
my car."
666,fear,"After having watched a crime show on the TV, I was about to take  
the dog for a walk. Then, suddenly, there was a man on the  
porch... (We live some distance away from other people)."
673,fear,"After seeing a terror movie at the cinema, I was so scared that I  
couldn't even drive the car into the garage. I often thought  
about the film afterwards, hoping such things couldn't exist in  
the ""real world""."
679,fear,I lost my way on a trip in the mountains.
686,fear,"Before getting back the results of a test in school, when I had  
worked very hard and was worried about not succeeding."
693,fear,"One dark night with no street lights, a car was obviously  
following me."
700,fear,"I was beaten up at a private New Year's party once, through no  
fault of mine."
707,fear,Not applicable to myself.
714,fear,"A letter from my boyfriend began in such a way that I thought he  
was going to end our relationship. I was afraid of reading the  
rest."
721,fear,"Fearing the use of power or reprimands when I belong to the  
minority."
732,fear,Falling off a cliff in the mountains.
739,fear,"Going home alone through the forest after a girl guide (scout ?)  
meeting."
746,fear,"Climbing a mountain where the rocks were very loose. When we  
realized the danger, we were very high up, but still had a long  
climb ahead."
753,fear,"When I realized that we are living on borrowed time, and that the  
nuclear holocaust appears to come closer every day."
760,fear,"I came home and discovered that someone had broken in. Then I  
realized that they probably were still there."
767,fear,Before important sports events.
774,fear,"Was threatened with a knife ... in the military by soldiers form  
another unit. The reason was girls."
781,fear,"Motorcycle accident with two people involved, running off the  
road. Broke an arm, only."
788,fear,"Almost crashing my car, something which could have led to great  
problems."
795,fear,"Afraid I wouldn't catch the train when I was going to see my  
sweetheart."
802,fear,"The house was on fire, and I was saved by the dog. I am afraid of  
the fire, verging on panic."
809,fear,"Thinking of the unknown, what happens at the moment of death,  
etc."
816,fear,"Being very close to having an auto accident, almost driving off  
the road."
823,fear,Being close to drowning.
830,fear,I was scared in the dark when I was a little boy.
837,fear,"Once I was stopped by the police in Spain, when I had some  
""grass"" in my tobacco."
844,fear,"As a child, when I was at home alone, I felt in an indefinate  
manner afraid of the death of my father and mother."
851,fear,[ I was thinking about death.]
858,fear,In the dark an unreal figure formed by a shadow.
865,fear,"I had been drinking with a pal and I later (1 o' clock) had a date   
with my fiancee.  We were going to a Spanish lesson and I was  
afraid that she would smell that I had been drinking."
872,fear,"I was on the Inter Rail in Naples alone. After an evening in a  
restaurant I was going back to the hotel when a prostitute  
approached me to sell herself. I refused but as I carried on  
walking I felt that I was being followed by someone."
879,fear,"At the dentist's, waiting for my turn to come."
886,fear,"When I saw Russian roulette on TV. (obviously the movie ""Deer  
hunter"")"
893,fear,[ Uncertainty about my own abilities in an exam.]
898,fear,"My father was away from home and he did not come back when he was  
expected, he came back several hours later than expected."
905,fear,"I returned home late from a party last night and I felt afraid  
trying to anticipate the reaction of my father."
912,fear,"When I got lost in New York city a late friday night with a  
friend of mine."
919,fear,"In the traffic with a car, I nearly got crushed between a bus and  
a tram.  The attention of other drivers saved me at the last moment."
926,fear,A dark night when I had to go to the outdoor lavatory.
933,fear,"While watching TV (a war movie), I felt a strong fear of death,  
threat and fear of loosing people close to me."
940,fear,When my father was very drunk and raging at home.
946,fear,"In Sweden, a friend and I lived in an appartment owned by a Finn.  
 One day, this man came back to the appartment heavily drunk  
(hashish and alcohol).  He was quite dizzy and he broke down, and  
I could not foretell his reactions.  However, nothing happened."
953,fear,"I was jogging in the forest, in the central park area, when I saw  
a man hiding behind a tree.  I got frigthened, turned around and  
ran out of the forest."
960,fear,"Years ago, on my way to school by the forest path I came across  
an exhibitionist."
967,fear,"I had been watching a TV-program on paranormal phenomena.  At  
night I could not fall off to sleep as I feared that humanoids  
were on the move."
974,fear,"I was alone at home and I could hear odd noises coming from above  
our bedroom.  I knew that nobody lived there since it was an  
office.  I got frightened (later I was given a ""natural""  
explanation)."
981,fear,"My husband had gone to drive a strange, broken car.  At the  
agreed time, he had not returned, and I feared that he had had an  
accident."
988,fear,"I was diving below the ice, in a cave, at a depth of 26 metres.   
Visibility was almost zero and the oxygen level decreased  
threateningly.  There were three of us divers on one safety rope."
995,fear,"I was about to begin a journey in a car with an acquaintance of  
mine."
1002,fear,"My grandmother was about to die, and it had the effect that at  
night, after having read a book, and once in bed, in perfect  
darkness, the fear arose that I too may suddenly die."
1009,fear,"I feared that I was pregnant.  It was not planned and I would  
have been compelled to have an abortion, which I would not have  
liked at all.  Fortunately, after a week's anxiety, I got to know  
that I was not pregnant."
1016,fear,"When my brother went to shoot wild ducks, I feared that the  
boat would overturn and he would drown or that the gun would  
accidentally go off."
1023,fear,"When a big angry dog put its snout on my arm and had I made one  
movement it would have bitten me."
1030,fear,"My father had been drinking and I feared him when we went to bed  
at night."
1037,fear,"I was afraid when my dog ran out through a crack in the fence  
when  a train was coming."
1044,fear,"At school, I had acted against the will of the group, and the  
next day they promised to take revenge on me."
1051,fear,"I am a kindergarten teacher and I am thoroughly weary of my job.   
After having taken the university entrance exam I suffered from  
anxiety for weeks as I did not want to carry on with my work - studies  
were the only alternative. "
1058,fear,"The fear about my future : work, making ends meet and health.  
Coping."
1065,fear,"At the railway station, while waiting for the last train at night  
I noticed that a drunk young man was appraching me in a  
purposeful mannner."
1072,fear,"My grandfather had lung-cancer and was being nursed at  
home.  I felt fear when I was alone with him and he almost choked  
on mucus secretions."
1079,fear,"[ Meeting some new (unpleasant) people or some new, demanding  
situation.]"
1086,fear,"I was travelling back home by boat with two friends of mine after  
a lovely holiday trip.  The night and the sea were dark, and the  
wind was blowing.  I feared that death was there on the boat, I  
somehow felt sure about it.  I feared being left alone."
1093,fear,"My husband suddenly fell ill seriously and during the medical  
examinations we did not know what would follow."
1100,fear,When climbing up the stairs to the top of a ski-jumping hill.
1107,fear,"While cycling in the country, I came across a large herd of  
cows."
1114,fear,"At night, I walk home past a forest.  Once, somebody got stabbed  
in the forest.  I imagine someone attacking me and I hurry up."
1121,fear,"Traveling as the only female in a railway carriage in the middle  
of the night in Italy."
1128,fear,"While preparing my master's thesis, I was scared that I would not  
accomplish anything as the subject was rather difficult."
1135,fear,"I was camping with a friend of mine and we spent the night in the  
forest.  I could not fall off to sleep and could clearly hear  
noises from outside (steps ?) approaching our tent."
1142,fear,"While he was drunk, my life partner tried to hit me.  I felt  
scared and fled to the bathroom."
1149,fear,"My boyfriend hinted over the phone about wanting to ""be free"".   
He thus did not say it point blank, silence followed."
1156,fear,"Someone knocked on the door when I was alone at home (though  
there was a door bell).  I looked through the peep hole but it  
had been covered.  I called my sister but she could not help me  
as she was hundreds of kilometres away."
1163,fear,"While cycling in the country a dog started running beside me,  
growling and barking, and trying to bite my foot."
1170,fear,[ In an aeroplane.]
1177,fear,"I borrowed a car which was supposed to be used for a long journey  
a few hours later, and one of the tyres burst in the middle of  
the town and I did not know what to do."
1184,fear,"I was walking home with a friend at night along a quiet street.   
Something started rustling in the bush : it was an exhibitionist."
1191,fear,"When abroad, while driving a car along a dark, winding road."
1198,fear,"My episode of fright happened when I came to study.  I had to  
stand in front of my still unknown fellow students and talk about  
myself.  My hands shook, I flushed and became tongue-tied."
1201,fear,"One evening, while going to meet a friend of mine, I had to cross  
a meadow by a dark road.  There were bushes on the other side of  
the road.  The weather was damp and a bit foggy.  I heard steps  
behind me and kept speeding up my steps all the time."
1208,fear,"I saw a man who had had a heart-attack and who was being  
treated for it.  I feared that my own father could have been  
there."
1214,fear,"A neighbour's girl had disappeared and many people were looking  
for her.  Someone had gone to notify the police.  Something had  
certainly happened to her."
1221,fear,"I work at a day care centre, and one day when the children were  
outdoors a four-year old boy disappeared from the yard.  I was  
not looking after them then, but as the manager it was me who was  
responsible."
1228,fear,"I awoke at night and did not remember dreaming about antthing in  
particular.  I just felt oppressing fear, it was dark and all the  
others were sleeping."
1235,fear,When I was walking on a fairly out-of-the-way street.
1242,fear,"When I was in the army, a room mate of mine came back from  
furlough and threatened another fellow with a knife."
1249,fear,"When I was 8 years old, I would usually come home from school  
with my mother in a car.  For the first time I had to take the  
school bus, and I mistook the bus stop and found myself two  
kilometres away from where I lived.  I was very scared, wondering  
how I would get back home."
1256,fear,"I was less than 10 years old when our neighbour's dog chased me  
to the roof of a small shed and there seemed to be no hope of  
getting away from there."
1263,fear,I had a dream in which I was an African elephant.
1270,fear,"My mother had not come home at midnight.  She had forgotten to  
tell me about it.  I was very young and all alone at home."
1282,fear,Car accident in the middle of the night.
1289,fear,"My sister had to undergo a very complicated operation, her  
eyesight was at stake."
1296,fear,"I had not told my parents about my bad marks in school. One day,  
my father wanted to speak to the teachers. Fortunately I could  
influence my parents to take it easy."
1303,fear,My car skidded on the wet street.
1315,fear,"When we stayed in Vienna with our class, my friend and I behaved  
incorrectly. Our teacher threatened us with exclusion from  
school."
1322,fear,"When I was a child, I was always afraid of my father. Just when  
he looked at me, I felt frightened."
1329,fear,"One night I had a feeling that somebody was stealing my car,  
but I was too frightened to go and see."
1336,fear,"My girlfriend and I slept in a lonely hut (we had drunk alcool).  
Suddenly some soil fell on us, then some water. Although we tried  
hard, we could not find out the cause."
1343,fear,"On my way through lonely streets I met with a huge stray dog. It  
stopped at some distance and looked at me. I tried to ignore it  
but I was very frightened."
1350,fear,"It was on St. Claus Day when I was five years old. St. Claus and  
his Devil Servant came to see me. St. Claus' Devil Servant  
rattled with his chain and bowled terribly. I was so frightened  
that my parents had to ask him to leave."
1357,fear,"I was afraid of a certain examination although I was relatively  
well prepared."
1364,fear,"I went home all alone from a restaurant. It was dark, I went very  
fast. Behind me, there were some drunk men who shouted at me. By  
chance, I met some friends who accompanied me."
1371,fear,"On a mountain tour, my girlfriend and I passed by an inn. Near  
the house there was a big dog which began to follow us. As my  
girlfriend is afraid of dogs, I had to draw his attention to me.  
He jumped towards my shoulders and wanted to play with me but I  
really did not like that."
1378,fear,"Some friends and I were crossing a street when one of my friends  
was seized by a car and thrown aside. I had seen the car coming  
in our direction but I did not have enough time to react and  
prevent the accident."
1385,fear,"One evening, in the tramway, I was afraid of two drunk men  
molesting my girlfriend and me."
1392,fear,"When I was a child, I heard the floor cracking and I thought  
there was a burglar in our house; I hid under the blanket and  
trembled."
1399,fear,"I am a ""cantor"" - I sing psalms in church. Several weeks ago I  
had to sing too, but the organist did not tell me in time. As I  
did not know the psalm, I was afraid and said that I could not  
sing."
1406,fear,"After a short stay in Marocco we missed the ferry-boat back to  
Spain and we had to look for an accomodation. By chance we met a  
man who offered to take us to a camping site. While I was sitting in his  
car I was terribly afraid because I had heard of people being  
robbed in Marocco."
1413,fear,"I was driving my car and it was very misty. It was in the night  
and I was alone in my car. I felt totally insecure, nervous and  
overstrained."
1420,fear,"Once our school class went skiing. On a steep slope a boy  
standing behind me lost his balance, fell down and drew me with  
him. I slided down the whole slope. At about 1 m distance from a  
tree I could stop."
1427,fear,"I was at home alone and my mother had asked me to heat the house.  
I put too much fuel into the stove. It began to glow and there  
was a noise in the whole house as if it was going to explode."
1434,fear,"When I was a child I was afraid of big dogs. One day when I came  
home a big dog was laying in front of our door. I was so  
frightened that I did not dare to enter the door and I waited  
until somebody passed by."
1441,fear,"One evening I stayed at home all alone. As we lived on the ground  
floor, I was often afraid of burglers."
1448,fear,"When I was hitch-hiking and I went with a man who drived like a  
madman."
1457,fear,"My mother had fallen down from a ladder when she had been  
gathering cherries. Her back was hurt. Just when I arrived, I saw  
people of the life-saving service giving her medical care."
1464,fear,"When I was a child, I fell into a cellar (when playing) and could  
be freed only with big difficulties."
1471,fear,"When I was walking on the street, a group of drunk, bawling young  
people approached."
1476,fear,"When I saw a good male friend unexpectedly after a year, as I've  
just returned from overseas. I was feeling tired, looking a mess,  
and nervous."
1483,fear,"No really strong such emotion. Just falling off to sleep when I  
caught sight of a 5 cm diameter spider crawling onto the pillow  
beside me."
1490,fear,"Car accident nearly occurred between us and drunk driver coming  
in opposite direction it missed us by approx 1 m and collided  
(after rolling twice midair) into nearby scrub."
1497,fear,"Small car accident. Black ice on the road - cars in front of us  
started zig-zagging and so did we. Car in front did a 180¦ turn we  
followed and ended up in a gully."
1504,fear,"I was sleeping in my room but woke in the middle of the night to  
think I could hear noises and see shadows moving. I felt that  
someone was in the house."
1512,fear,When I had to assume a position which I didn't expect.
1524,fear,When I crashed my car.
1532,fear,"When I was a child, I had a nightmare. At that time, I was not  
yet able to tell anybody about it, so I was very frightened. I  
could not explain myself all that and I had to deal with it by  
myself."
1539,fear,"I live outside Graz - so I have to go by bus. One day I went home  
from the bus stop alone. It was dark, I had to go through a  
forest and there was a dark figure behind me. I was very  
frightened."
1546,fear,"When I was a child, I had a terrible nightmare with St. Nicholas'  
Devil Servant. I asked my mother if he really existed and she  
said yes. The following nights I could not sleep and a  
light had to be left turned on."
1553,fear,"When I was on a cave excursion with friends, I suddenly lost them  
and was afraid of losing my way in the cave."
1560,fear,"When I went home alone early in the morning, I had to go through  
a wood."
1567,fear,"Once I spent a night with a friend at the secondary school. We  
told each other horror stories and suddenly we heard uncanny  
noises. I was terribly frightened."
1574,fear,"One evening my father told me to go into the cellar and get him a  
beer. I was terribly frightened at the idea of a man sitting in  
the cellar and assaulting me. For my defence I took an empty  
bottle with me."
1581,fear,"One night I was lying in my bed awake but I had my eyes closed. I  
saw figures with terrible faces and black frocks bending over me  
and touching me. I opened my eyes but I could still see them. I  
had the feeling that somebody was in the room. It was terrible.  
Only when I turned on the light I was able to go to sleep."
1588,fear,"I was skiing with friends and they wanted to ski-jump. I did not  
want to be left behind, so I braced myself and followed them."
1601,fear,"I had to go to the dentist's. When he touched my tooth with his  
drill, I was terribly aftaid of the pain I would feel any moment."
1608,fear,"A teacher wanted to instill a certain opinion and a certain  
behaviour into myself, what I refused. I was afraid when I saw  
him."
1615,fear,"At about midnight I had to go by bike through Graz alone. On the  
whole it was a distance of several kilometers. A car followed me  
through the streets. Only when I went into a one-way street the  
car disappeared. The rest of my way home I was very afraid."
1622,fear,"Many years ago I saw the film ""Psycho"" by Hitchcock for the first  
time. When I saw the film I was alone and afterwards I hardly  
dared to go to bed and hardly was able to sleep."
1629,fear,"When I was 8 years old my tonsils had to be operated on. This is  
not a complicated operation, but just before it started I was  
very afraid so that I will never forget it."
1636,fear,"I was in a dark cellar and saw a glowing red point. I thought  
that it was a person with a cigarette - but it was only the red  
switch."
1643,fear,"I studied medicine for several semesters and at that time I  
developed a great fear of examinations. I was most afraid of my  
examination of anatomy. While other students were examined, I was  
dissecting. I was able to hear everything and was waiting with  
fear until it was my turn."
1650,fear,My first public appearance in front of a rathe big audience.
1657,fear,"Before an examination: I had the fealing that I had not learned  
enough."
1664,fear,"I had climbed on a cherry tree alone and there was a thick  
caterpillar beside my fingers. I feel disgusted by caterpillars  
and snakes. I was terribly afraid of the caterpillar crawling on  
my fingers. Out of the fear I was almost unable to climb down."
1671,fear,"After a footballmatch I went home by car, a friend drove. I did  
not realize that he was drunk until we were in the car. He was  
madly racing. Several times we were in dangerous situations and I  
told him to be cautious, but he did not care."
1678,fear,"After my boy-friend had beaten me for the first time, I always  
trembled when somebody knocked on my door or when I heard steps  
coming nearer."
1685,fear,"My mother, my sister and I were sitting in the sitting room and  
watching a film on TV. My father came home drunk and told us to  
turn off. When we did not do that he switched off the fuse and  
started shouting. We were sitting in the dark and I was afraid  
that he would do us a harm."
1692,fear,"When we had swimming instruction, we had to take a header from  
the springboard. I usually refused to do that, but at least I was  
forced to."
1699,fear,"I lived in a flat with a couple. The woman was so jealous of me,  
that she sometimes had crying fits. Eventually her husband could  
not stand that any more and wanted to kill me."
1706,fear,Before my final examination.
1713,fear,"Before I went to the urologist's I was afraid for several  
reasons: because it was for the first time, because the medical  
check-up might be painful, because of the uncertainty and because  
someone had informed me about it."
1720,fear,I was afraid before I went to the doctor's.
1727,fear,"When I had my first oral examination after a long time;  
especially one day before the examination when I had the feeling  
that I had not studied enough and had not enough time to make up  
for it."
1734,fear,"When I had to go through lonely streets in the middle of the  
night."
1741,fear,"I got lost in a foreign town. I did not know the language of that  
country and it took me hours to meet my friends again."
1748,fear,"After a motor accident (I was the frong-seat-passenger) I spit  
blood."
1755,fear,"My fear appeared in the form of jealousy. I was afraid that my  
girl-friend had fallen in love with another man, I was afraid to  
lose her."
1762,fear,"When I wanted to go into a house, there was suddenly a big dog  
standing beside me. It was hardly moving, but I did not know how  
it would react later on."
1769,fear,"I was awakened by a dream in the middle of the night. I dreamt  
that a stranger was in my house."
1775,fear,"Recently my younger brother disappeared for two days without  
leaving a trace. Usually he tells me when he wants to do  
something like that, therefore I was afraid that something had  
happened to him."
1782,fear,Before an oral examination - which I did not take eventually.
1789,fear,"Unknown person knocking repeatedly on backdoor when no one else  
was at home."
1796,fear,Movement in bush late at night while camping.
1803,fear,"A car came very close to hitting me whilst I was crossing the  
street."
1810,fear,Before giving a seminar to a rather large audience.
1816,fear,"I was a passenger in a jumbo-jet which was accelerating down the  
runway and almost at the point of take-off, when the pilot  
suddenly braked and put the engines into reverse thrust, in an  
obviously urgent attempt to stop the aircraft. The hostesses show  
signs of concern and my first thought was that something was on  
the runway in our path and that we were in danger of hitting it."
1823,fear,"When I heard that there had been some women raped at uni, just  
near where I usually park my car and walk by myself at night.  
Although I wasn't in danger it unnerved me for days and I was  
fearful whenever walking through the area."
1830,fear,"I was walking home late at night from lectures and someone  
deliberately started following me. It was dark and I was scared."
1837,fear,I do not recall being scared in the near past.
1844,fear,When my mother was angry with me over my friends and boyfriend.
1851,fear,"A workmate and I had been antagonistic with each other for some  
weeks - he had reacted violently to my criticisms of his work  
standards."
1858,fear,"After going through a glass door, I sustained a number of serious  
cuts which were gaping open."
1865,fear,"When my boyfriend was leaving to go home one night, I had a very  
deep sense of uneasiness and an unwarranted fear that I wouldn't  
see him again."
1872,fear,"I was on my surf ski. Rather large waves to strong current  
separated me from my ski and we both began to drift slowly  
(actually rather quickly) away to sea. The direction I was  
drifting in was taking me straight over a reef on which rather  
large sharks were constantly being caught. (I was alone with no  
one to help me)."
1879,fear,"My brother and I were driving to Brisbane when he drove back onto  
the road, perhaps cutting off another car but not noticeable -  
this driver did his best to drive us off the road for about 1/2  
an hour."
1886,fear,Fear of sexual overtures from a close relative in the family.
1893,fear,"I was walking to my car at night and thought that I was being  
followed."
1900,fear,"Stranded in the north of Fraser Island with a submerged 4 WD hire  
vehicle."
1907,fear,"Taking a trip to crocokile country I fell out of the boat and was  
motivated by fear of being eaten to perform great swimming feats."
